PACK 158: Negative Patterns
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | not                  | 不是              | bú shì             | no                 | não               
  3 | never                | 从来没有            | cóng lái méi yǒu   | nunca              | nunca             
  4 | nothing              | 什么都没有           | shén me dōu méi yǒ | nada               | nada              
  5 | nowhere              | 无处可去            | wú chǔ kě qù       | en ninguna parte   | lugar nenhum      
  6 | nor                  | 也不              | yě bù              | ni                 | nem               
  7 | without              | 没有              | méi yǒu            | sin                | sem               
  8 | barring              | 禁止              | jìn zhǐ            | restricción        | barramento        
  9 | unlikely             | 不太可能            | bù tài kě néng     | improbable         | improvável        
 10 | unavailable          | 不可用             | bù kě yòng         | no disponible      | indisponível      
 11 | unacceptable         | 不可接受            | bù kě jiē shòu     | inaceptable        | inaceitável       
 12 | unnecessary          | 不必要的            | bù bì yào de       | innecesario        | desnecessário     
 13 | inappropriate        | 不适当             | bù shì dāng        | inapropiado        | inadequado        
 14 | impossible           | 不可能             | bù kě néng         | imposible          | impossível        
 15 | incorrect            | 不正确             | bù zhèng què       | incorrecto         | incorreto         
 16 | incomplete           | 不完整             | bù wán zhěng       | incompleto         | incompleto        
 17 | insufficient         | 不足              | bù zú              | insuficiente       | insuficiente      
 18 | incapable            | 无能              | wú néng            | incapaz            | incapaz           
 19 | improbable           | 不可能             | bù kě néng         | improbable         | improvável        
 20 | invalid              | 无效              | wú xiào            | inválido           | inválido          
 21 | inapplicable         | 不适用             | bù shì yòng        | no aplicable       | inaplicável       
 22 | not sure             | 不确定             | bù què dìng        | no estoy seguro    | não tenho certeza 
 23 | not now              | 现在不行            | xiàn zài bù xíng   | ahora no           | agora não         
 24 | never again          | 再也不会            | zài yě bú huì      | nunca más          | nunca mais        
 25 | never before         | 以前从未有过          | yǐ qián cóng wèi y | nunca antes        | nunca antes       
 26 | nothing else         | 没有别的            | méi yǒu bié de     | nada más           | nada mais         
 27 | nothing wrong        | 没什么问题           | méi shén me wèn tí | no pasa nada       | nada de errado    
 28 | nowhere near         | 远不及             | yuǎn bù jí         | ni cerca           | nem perto         
 29 | nowhere to           | 无处可去            | wú chǔ kě qù       | ningún lugar al qu | nenhum lugar para 
 30 | neither nor          | 既不是也不是          | jì bú shì yě bú sh | ni ni              | nem nem           
 31 | nor do I             | 我也不             | wǒ yě bù           | yo tampoco         | nem eu            
 32 | without doubt        | 毫无疑问            | háo wú yí wèn      | sin duda           | sem dúvida        
 33 | without hesitation   | 毫不犹豫            | háo bù yóu yù      | sin dudarlo        | sem hesitação     
 34 | barring any          | 禁止任何            | jìn zhǐ rèn hé     | salvo cualquier    | exceto qualquer   
 35 | barring unforeseen   | 除非出现不可预见的情况     | chú fēi chū xiàn b | salvo imprevistos  | salvo imprevistos 
 36 | highly unlikely      | 极不可能            | jí bù kě néng      | muy improbable     | altamente improváv
 37 | unlikely to          | 不太可能            | bù tài kě néng     | poco probable      | improvável que    
 38 | currently unavailabl | 目前不可用           | mù qián bù kě yòng | actualmente no dis | atualmente indispo
 39 | unavailable for      | 不可用于            | bù kě yòng yú      | no disponible para | indisponível para 
 40 | totally unacceptable | 完全不能接受          | wán quán bù néng j | totalmente inacept | totalmente inaceit
 41 | unacceptable behavio | 不可接受的行为         | bù kě jiē shòu de  | comportamiento ina | comportamento inac
 42 | completely unnecessa | 完全没有必要          | wán quán méi yǒu b | completamente inne | completamente desn
 43 | unnecessary risk     | 不必要的风险          | bù bì yào de fēng  | riesgo innecesario | risco desnecessári
 44 | highly inappropriate | 非常不合适           | fēi cháng bù hé sh | muy inapropiado    | altamente inapropr
 45 | inappropriate commen | 不当评论            | bù dàng píng lùn   | comentario inaprop | comentário inaprop
 46 | nearly impossible    | 几乎不可能           | jī hū bù kě néng   | casi imposible     | quase impossível  
 47 | impossible to        | 不可能             | bù kě néng         | imposible          | impossível        
 48 | factually incorrect  | 事实不正确           | shì shí bù zhèng q | objetivamente inco | factualmente incor
 49 | incorrect answer     | 错误答案            | cuò wù dá àn       | respuesta incorrec | resposta incorreta
 50 | still incomplete     | 仍然不完整           | réng rán bù wán zh | aún incompleto     | ainda incompleto  
 51 | incomplete data      | 数据不完整           | shù jù bù wán zhěn | datos incompletos  | dados incompletos 
 52 | clearly insufficient | 明显不足            | míng xiǎn bù zú    | claramente insufic | claramente insufic
 53 | insufficient funds   | 资金不足            | zī jīn bù zú       | fondos insuficient | fundos insuficient
 54 | completely incapable | 完全没有能力          | wán quán méi yǒu n | completamente inca | completamente inca
 55 | incapable of         | 没有能力            | méi yǒu néng lì    | incapaz de         | incapaz de        
 56 | highly improbable    | 极不可能            | jí bù kě néng      | muy improbable     | altamente improváv
 57 | improbable outcome   | 不可能的结果          | bù kě néng de jié  | resultado improbab | resultado improváv
 58 | completely invalid   | 完全无效            | wán quán wú xiào   | completamente invá | completamente invá
 59 | invalid argument     | 无效参数            | wú xiào cān shù    | argumento no válid | argumento inválido
 60 | totally inapplicable | 完全不适用           | wán quán bù shì yò | totalmente inaplic | totalmente inaplic
 61 | inapplicable here    | 此处不适用           | cǐ chù bù shì yòng | inaplicable aquí   | inaplicável aqui  
