PACK 98: Movies & TV
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | cinema               | 电影院             | diàn yǐng yuàn     | cine               | cinema            
  3 | series               | 系列              | xì liè             | serie              | série             
  4 | episode              | 情节              | qíng jié           | episodio           | episódio          
  5 | season               | 季节              | jì jié             | temporada          | temporada         
  6 | actress              | 女演员             | nǚ yǎn yuán        | actriz             | atriz             
  7 | director             | 导演              | dǎo yǎn            | directora          | diretor           
  8 | producer             | 制片人             | zhì piàn rén       | productor          | produtor          
  9 | scene                | 场景              | chǎng jǐng         | escena             | cena              
 10 | script               | 脚本              | jiǎo běn           | guión              | roteiro           
 11 | cast                 | 演员              | yǎn yuán           | reparto            | elenco            
 12 | comedy               | 喜剧              | xǐ jù              | comedia            | comédia           
 13 | drama                | 戏剧              | xì jù              | teatro             | drama             
 14 | thriller             | 惊悚片             | jīng sǒng piàn     | novela de suspense | suspense          
 15 | horror               | 恐怖              | kǒng bù            | terror             | horror            
 16 | documentary          | 纪录片             | jì lù piàn         | documental         | documentário      
 17 | animation            | 动画              | dòng huà           | animación          | animação          
 18 | sequel               | 续集              | xù jí              | secuela            | sequência         
 19 | trailer              | 预告片             | yù gào piàn        | remolque           | reboque           
 20 | premiere             | 首映              | shǒu yìng          | estreno            | estreia           
 21 | blockbuster          | 重磅炸弹            | zhòng bàng zhà dàn | éxito de taquilla  | sucesso de bilhete
 22 | go to cinema         | 去电影院            | qù diàn yǐng yuàn  | ir al cine         | ir ao cinema      
 23 | cinema ticket        | 电影票             | diàn yǐng piào     | entrada de cine    | ingresso de cinema
 24 | TV series            | 电视剧             | diàn shì jù        | Serie de televisió | Séries de TV      
 25 | series finale        | 系列结局            | xì liè jié jú      | final de la serie  | final da série    
 26 | new episode          | 新剧集             | xīn jù jí          | nuevo episodio     | novo episódio     
 27 | episode one          | 第一集             | dì yī jí           | episodio uno       | episódio um       
 28 | first season         | 第一季             | dì yī jì           | primera temporada  | primeira temporada
 29 | season premiere      | 本季首映            | běn jì shǒu yìng   | estreno de tempora | estreia da tempora
 30 | famous actress       | 著名女演员           | zhù míng nǚ yǎn yu | actriz famosa      | atriz famosa      
 31 | actress role         | 女演员角色           | nǚ yǎn yuán jué sè | papel de actriz    | papel de atriz    
 32 | film director        | 电影导演            | diàn yǐng dǎo yǎn  | director de cine   | diretor de cinema 
 33 | director cut         | 导演剪辑            | dǎo yǎn jiǎn jí    | corte del director | corte do diretor  
 34 | movie producer       | 电影制片人           | diàn yǐng zhì piàn | productor de cine  | produtor de cinema
 35 | executive producer   | 执行制片人           | zhí xíng zhì piàn  | productor ejecutiv | produtor executivo
 36 | opening scene        | 开场场景            | kāi chǎng chǎng jǐ | escena de apertura | cena de abertura  
 37 | scene change         | 场景变换            | chǎng jǐng biàn hu | cambio de escena   | mudança de cena   
 38 | read script          | 读取脚本            | dú qǔ jiǎo běn     | leer guión         | leia o roteiro    
 39 | script writer        | 编剧              | biān jù            | guionista          | roteirista        
 40 | movie cast           | 电影演员表           | diàn yǐng yǎn yuán | reparto de la pelí | elenco do filme   
 41 | cast member          | 演员              | yǎn yuán           | miembro del repart | membro do elenco  
 42 | romantic comedy      | 浪漫喜剧            | làng màn xǐ jù     | comedia romántica  | comédia romântica 
 43 | comedy show          | 喜剧表演            | xǐ jù biǎo yǎn     | programa de comedi | show de comédia   
 44 | TV drama             | 电视剧             | diàn shì jù        | Drama televisivo   | Drama de TV       
 45 | drama series         | 连续剧             | lián xù jù         | serie dramática    | série dramática   
 46 | action thriller      | 动作惊悚            | dòng zuò jīng sǒng | thriller de acción | suspense de ação  
 47 | thriller movie       | 惊悚电影            | jīng sǒng diàn yǐn | película de suspen | filme de suspense 
 48 | horror movie         | 恐怖电影            | kǒng bù diàn yǐng  | película de terror | filme de terror   
 49 | horror film          | 恐怖片             | kǒng bù piàn       | película de terror | filme de terror   
 50 | nature documentary   | 自然纪录片           | zì rán jì lù piàn  | documental de natu | documentário sobre
 51 | documentary film     | 纪录片             | jì lù piàn         | película documenta | documentário      
 52 | animation movie      | 动画电影            | dòng huà diàn yǐng | película de animac | filme de animação 
 53 | animation studio     | 动画工作室           | dòng huà gōng zuò  | estudio de animaci | estúdio de animaçã
 54 | movie sequel         | 电影续集            | diàn yǐng xù jí    | secuela de la pelí | sequência do filme
 55 | sequel released      | 续集发布            | xù jí fā bù        | secuela lanzada    | sequência lançada 
 56 | movie trailer        | 电影预告片           | diàn yǐng yù gào p | tráiler de la pelí | trailer do filme  
 57 | trailer preview      | 预告片预览           | yù gào piàn yù lǎn | vista previa del a | prévia do trailer 
 58 | world premiere       | 全球首映            | quán qiú shǒu yìng | estreno mundial    | estreia mundial   
 59 | premiere night       | 首映之夜            | shǒu yìng zhī yè   | noche de estreno   | noite de estreia  
 60 | summer blockbuster   | 暑期大片            | shǔ qī dà piàn     | éxito de taquilla  | sucesso de bilhete
 61 | blockbuster hit      | 轰动一时            | hōng dòng yī shí   | éxito de taquilla  | sucesso de bilhete
