Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
spanish,5,Referring to People (yo tú él ella),12,portuguese,eles,elas,Feminine they (ellas) requires feminine Portuguese elas not masculine eles
spanish,6,Being Permanent (ser),4,portuguese,são,és,eres (you are singular) requires singular és not plural são
spanish,7,Being Temporary (estar),4,portuguese,são,estás,estás (you are singular) requires singular estás not plural são
spanish,8,Having & Age (tener),3,portuguese,ter,tens,tienes (you have) requires conjugated tens not infinitive ter
spanish,8,Having & Age (tener),5,portuguese,ter,temos,tenemos (we have) requires conjugated temos not infinitive ter
spanish,8,Having & Age (tener),7,portuguese,ter,têm,tienen (they have) requires conjugated têm not infinitive ter
spanish,9,The & A Articles (el la un una),2,chinese,el,这个,Spanish article el untranslated - use Chinese equivalent 这个 (this)
spanish,9,The & A Articles (el la un una),2,pinyin,el,zhè ge,Match Chinese translation 这个
spanish,9,The & A Articles (el la un una),2,portuguese,ele,o,"el is article ""the"" (o) not pronoun ""he"" (ele)"
spanish,9,The & A Articles (el la un una),3,chinese,la,这个,Spanish article la untranslated - use Chinese equivalent 这个 (this)
spanish,9,The & A Articles (el la un una),3,pinyin,la,zhè ge,Match Chinese translation 这个
spanish,9,The & A Articles (el la un una),4,chinese,los,这些,Spanish article los (plural the) untranslated - use Chinese 这些 (these)
spanish,9,The & A Articles (el la un una),4,pinyin,los,zhè xiē,Match Chinese translation 这些
spanish,9,The & A Articles (el la un una),5,portuguese,o,as,"las is feminine plural article ""the"" (as) not masculine singular (o)"
spanish,20,Making & Doing (hacer),3,portuguese,fazer,faço,hago (I do) requires conjugated faço not infinitive fazer
spanish,20,Making & Doing (hacer),8,portuguese,fazer,fazem,hacen (they do) requires conjugated fazem not infinitive fazer
spanish,21,Going Places (ir),3,portuguese,ir,vou,voy (I go) requires conjugated vou not infinitive ir
spanish,73,Music & Songs,3,portuguese,música,canção,canción is song (canção) not music (música)
spanish,73,Music & Songs,25,portuguese,a cantora,o cantor,el cantante is masculine singer (o cantor) not feminine (a cantora)
spanish,132,Touching & Playing Music (tocar),8,portuguese,toque,tocar,tocar is infinitive verb to touch (tocar) not noun touch (toque)
spanish,182,Telecommunications,4,pinyin,WhatsApp,W h a t s A p p,Latin letters must map letter-by-letter with spaces
spanish,182,Telecommunications,26,pinyin,tōng guò WhatsApp,tōng guò W h a t s A p p,Latin letters must map letter-by-letter with spaces
spanish,182,Telecommunications,27,pinyin,zài WhatsApp shàng,zài W h a t s A p p shàng,Latin letters must map letter-by-letter with spaces
spanish,200,Real Estate Terms,5,portuguese,alugar,aluguel,alquiler is noun rent payment (aluguel) not verb to rent (alugar)
spanish,233,Cryptocurrency Terms,19,pinyin,NFT,N F T,Latin letters must map letter-by-letter with spaces
spanish,233,Cryptocurrency Terms,54,pinyin,NFT,N F T,Latin letters must map letter-by-letter with spaces
spanish,233,Cryptocurrency Terms,55,pinyin,yí gè NFT,yí gè N F T,Latin letters must map letter-by-letter with spaces
spanish,245,Command Forms,2,portuguese,fazer,faça,Command form haz (do!) requires Portuguese imperative faça not infinitive fazer
