PACK 156: Question Patterns
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | question             | 问题              | wèn tí             | pregunta           | pergunta          
  3 | wonder               | 想知道             | xiǎng zhī dào      | maravilla          | maravilha         
  4 | curious              | 好奇              | hào qí             | curioso            | curioso           
  5 | quiz                 | 测验              | cè yàn             | cuestionario       | teste             
  6 | clarify              | 澄清              | chéng qīng         | aclarar            | esclarecer        
  7 | confused             | 困惑              | kùn huò            | confundido         | confuso           
  8 | unclear              | 不清楚             | bù qīng chǔ        | poco claro         | não está claro    
  9 | uncertainty          | 不确定性            | bù què dìng xìng   | incertidumbre      | incerteza         
 10 | perhaps              | 也许              | yě xǔ              | tal vez            | talvez            
 11 | maybe                | 也许              | yě xǔ              | tal vez            | talvez            
 12 | inquiry              | 询问              | xún wèn            | consulta           | consulta          
 13 | query                | 查询              | chá xún            | consulta           | consulta          
 14 | request              | 请求              | qǐng qiú           | solicitud          | solicitar         
 15 | puzzle               | 拼图              | pīn tú             | rompecabezas       | quebra-cabeça     
 16 | mystery              | 神秘              | shén mì            | misterio           | mistério          
 17 | riddle               | 谜语              | mí yǔ              | acertijo           | enigma            
 18 | muse                 | 沉思              | chén sī            | musa               | musa              
 19 | hypothesize          | 假设              | jiǎ shè            | formular hipótesis | hipotetizar       
 20 | deliberate           | 深思熟虑            | shēn sī shú lǜ     | deliberado         | deliberado        
 21 | inquire              | 询问              | xún wèn            | preguntar          | pergunte          
 22 | good question        | 好问题             | hǎo wèn tí         | buena pregunta     | boa pergunta      
 23 | question about       | 关于的问题           | guān yú de wèn tí  | pregunta sobre     | pergunta sobre    
 24 | I wonder if          | 我想知道是否          | wǒ xiǎng zhī dào s | Me pregunto si     | Eu me pergunto se 
 25 | wonder why           | 想知道为什么          | xiǎng zhī dào wèi  | me pregunto por qu | me pergunto por qu
 26 | I am curious         | 我很好奇            | wǒ hěn hào qí      | Tengo curiosidad   | Estou curioso     
 27 | curious about        | 对此好奇            | duì cǐ hào qí      | curiosidad por     | curioso sobre     
 28 | pop quiz             | 突击测验            | tū jī cè yàn       | examen sorpresa    | teste surpresa    
 29 | quiz tomorrow        | 明天测验            | míng tiān cè yàn   | examen mañana      | teste amanhã      
 30 | please clarify       | 请澄清             | qǐng chéng qīng    | por favor aclara   | por favor esclareç
 31 | clarify meaning      | 澄清意义            | chéng qīng yì yì   | aclarar el signifi | esclarecer o signi
 32 | I am confused        | 我很困惑            | wǒ hěn kùn huò     | Estoy confundido   | Estou confuso     
 33 | confused about       | 对此困惑            | duì cǐ kùn huò     | confundido acerca  | confuso sobre     
 34 | still unclear        | 仍不清楚            | réng bù qīng chǔ   | aún no está claro  | ainda não está cla
 35 | unclear on           | 对此不清楚           | duì cǐ bù qīng chǔ | no está claro en   | não está claro em 
 36 | some uncertainty     | 一些不确定性          | yī xiē bù què dìng | cierta incertidumb | alguma incerteza  
 37 | uncertainty about    | 关于的不确定性         | guān yú de bù què  | incertidumbre sobr | incerteza sobre   
 38 | perhaps later        | 也许稍后            | yě xǔ shāo hòu     | quizás más tarde   | talvez mais tarde 
 39 | perhaps not          | 也许不是            | yě xǔ bú shì       | tal vez no         | talvez não        
 40 | maybe tomorrow       | 也许明天            | yě xǔ míng tiān    | tal vez mañana     | talvez amanhã     
 41 | maybe not            | 也许不             | yě xǔ bù           | tal vez no         | talvez não        
 42 | make inquiry         | 进行询问            | jìn xíng xún wèn   | hacer consulta     | fazer consulta    
 43 | inquiry about        | 关于的询问           | guān yú de xún wèn | consulta sobre     | inquérito sobre   
 44 | search query         | 搜索查询            | sōu suǒ chá xún    | consulta de búsque | consulta de pesqui
 45 | query the            | 查询              | chá xún            | consultar el       | consulte o        
 46 | make request         | 提出请求            | tí chū qǐng qiú    | hacer solicitud    | fazer solicitação 
 47 | request for          | 请求              | qǐng qiú           | solicitud de       | solicitação de    
 48 | jigsaw puzzle        | 拼图游戏            | pīn tú yóu xì      | rompecabezas       | quebra-cabeça     
 49 | puzzle over          | 困惑于             | kùn huò yú         | desconcertar       | quebra-cabeça     
 50 | mystery novel        | 悬疑小说            | xuán yí xiǎo shuō  | novela de misterio | romance de mistéri
 51 | mystery of           | 之谜              | zhī mí             | misterio de        | mistério de       
 52 | solve riddle         | 解开谜语            | jiě kāi mí yǔ      | resolver acertijo  | resolver enigma   
 53 | riddle me            | 给我出谜语           | gěi wǒ chū mí yǔ   | enigma             | me enigma         
 54 | muse about           | 沉思              | chén sī            | musa sobre         | medita sobre      
 55 | muse on              | 沉思              | chén sī            | musa en            | pense em          
 56 | hypothesize that     | 假设那             | jiǎ shè nà         | plantear la hipóte | hipotetize que    
 57 | hypothesize about    | 关于假设            | guān yú jiǎ shè    | formular hipótesis | levantar hipóteses
 58 | deliberate on        | 深思熟虑            | shēn sī shú lǜ     | deliberar sobre    | deliberar sobre   
 59 | deliberate over      | 深思熟虑            | shēn sī shú lǜ     | deliberado sobre   | deliberar sobre   
 60 | inquire about        | 询问关于            | xún wèn guān yú    | preguntar sobre    | pergunte sobre    
 61 | inquire within       | 内部询问            | nèi bù xún wèn     | preguntar dentro   | pergunte dentro   
