PACK 4: Articles & Determiners
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | a                    | 一个              | yí gè              | a                  | um                
  3 | an                   | 一个              | yí gè              | un                 | um                
  4 | the                  | 这               | zhè                | el                 | o                 
  5 | this                 | 这               | zhè                | este               | esse              
  6 | that                 | 那               | nà                 | eso                | que               
  7 | these                | 这些              | zhè xiē            | estos              | esses             
  8 | those                | 那些              | nà xiē             | aquellos           | aqueles           
  9 | any                  | 任何              | rèn hé             | cualquier          | qualquer          
 10 | every                | 每一个             | měi yí gè          | cada               | todo              
 11 | each                 | 每个              | měi gè             | cada               | cada              
 12 | all                  | 全部              | quán bù            | todo               | todos             
 13 | both                 | 两个都             | liǎng gè dōu       | ambos              | ambos             
 14 | either               | 任何一个            | rèn hé yí gè       | cualquiera         | qualquer          
 15 | neither              | 两者都不            | liǎng zhě dōu bù   | ninguno            | nenhum            
 16 | another              | 其他              | qí tā              | otro               | outro             
 17 | other                | 其他              | qí tā              | otro               | outro             
 18 | such                 | 这样的             | zhè yàng de        | semejante          | tal               
 19 | own                  | 自己的             | zì jǐ de           | propio             | próprio           
 20 | former               | 以前的             | yǐ qián de         | anterior           | antigo            
 21 | latter               | 后者              | hòu zhě            | último             | último            
 22 | a lot                | 很多              | hěn duō            | mucho              | bastante          
 23 | a few                | 几个              | jǐ gè              | algunos            | um pouco          
 24 | an hour              | 一个小时            | yí gè xiǎo shí     | una hora           | uma hora          
 25 | an apple             | 一个苹果            | yí gè píng guǒ     | una manzana        | uma maçã          
 26 | the same             | 相同              | xiāng tóng         | lo mismo           | o mesmo           
 27 | the best             | 最好的             | zuì hǎo de         | el mejor           | o melhor          
 28 | this time            | 这次              | zhè cì             | esta vez           | desta vez         
 29 | this way             | 这边走             | zhè biān zǒu       | Por aquí           | Por aqui          
 30 | like that            | 像这样             | xiàng zhè yàng     | así                | assim             
 31 | that way             | 那样              | nà yàng            | de esa manera      | daquele jeito     
 32 | these days           | 这些日子            | zhè xiē rì zi      | estos días         | hoje em dia       
 33 | these things         | 这些东西            | zhè xiē dōng xī    | estas cosas        | essas coisas      
 34 | those days           | 那些日子            | nà xiē rì zi       | esos dias          | aqueles dias      
 35 | those people         | 那些人             | nà xiē rén         | esas personas      | aquelas pessoas   
 36 | any time             | 任何时间            | rèn hé shí jiān    | en cualquier momen | a qualquer momento
 37 | any questions        | 有任何问题           | yǒu rèn hé wèn tí  | cualquier pregunta | alguma dúvida     
 38 | every day            | 每天              | měi tiān           | cada día           | diariamente       
 39 | every time           | 每次              | měi cì             | cada vez           | toda vez          
 40 | each other           | 彼此              | bǐ cǐ              | entre sí           | uns aos outros    
 41 | each one             | 每一个             | měi yí gè          | cada persona       | cada um           
 42 | all the time         | 一直              | yì zhí             | todo el tiempo     | o tempo todo      
 43 | all day              | 一整天             | yī zhěng tiān      | todo el día        | o dia todo        
 44 | both of us           | 我们俩             | wǒ men liǎ         | nosotros dos       | nós dois          
 45 | both ways            | 双向              | shuāng xiàng       | en ambos sentidos  | ambos os lados    
 46 | either way           | 无论哪种方式          | wú lùn nǎ zhǒng fā | de cualquier maner | de qualquer jeito 
 47 | either one           | 任一              | rèn yī             | cada uno           | qualquer um       
 48 | neither one          | 两者都不是           | liǎng zhě dōu bú s | ninguno de los dos | nenhum dos dois   
 49 | neither here nor the | 不着边际            | bù zhuó biān jì    | ni aquí ni allá    | nem aqui nem ali  
 50 | another time         | 另一次             | lìng yī cì         | otra vez           | outra hora        
 51 | one another          | 彼此              | bǐ cǐ              | unos y otros       | um ao outro       
 52 | the other day        | 日前              | rì qián            | el otro día        | outro dia         
 53 | other than           | 以外              | yǐ wài             | otro que           | além de           
 54 | such as              | 例如              | lì rú              | como               | como              
 55 | such a thing         | 这样的事            | zhè yàng de shì    | tal cosa           | tal coisa         
 56 | my own               | 我自己的            | wǒ zì jǐ de        | mio                | meu               
 57 | on your own          | 靠你自己            | kào nǐ zì jǐ       | por tu cuenta      | por conta própria 
 58 | former president     | 前总统             | qián zǒng tǒng     | ex-presidente      | ex-presidente     
 59 | former student       | 以前的学生           | yǐ qián de xué shē | ex alumno          | ex-aluno          
 60 | the latter           | 后者              | hòu zhě            | este último        | esta última       
 61 | latter part          | 后半部分            | hòu bàn bù fèn     | última parte       | última parte      
