PACK 111: Collocations - Have & Take
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | have a look          | 看看              | kàn kàn            | echa un vistazo    | dê uma olhada     
  3 | have a break         | 休息一下            | xiū xī yī xià      | tómate un descanso | faça uma pausa    
  4 | have a conversation  | 进行对话            | jìn xíng duì huà   | tener una conversa | conversar         
  5 | have fun             | 玩得开心            | wán dé kāi xīn     | diviértete         | divirta-se        
  6 | have lunch           | 吃午饭             | chī wǔ fàn         | almorzar           | almoçar           
  7 | have a meeting       | 开会              | kāi huì            | tener una reunión  | ter uma reunião   
  8 | have a problem       | 有问题             | yǒu wèn tí         | tienes un problema | tenho um problema 
  9 | have an effect       | 有影响             | yǒu yǐng xiǎng     | tener un efecto    | tem um efeito     
 10 | have experience      | 有经验             | yǒu jīng yàn       | tener experiencia  | tenho experiência 
 11 | have a chance        | 有机会             | yǒu jī huì         | tener una oportuni | tenha uma chance  
 12 | take a break         | 休息一下            | xiū xī yī xià      | tómate un descanso | faça uma pausa    
 13 | take a chance        | 抓住机会            | zhuā zhù jī huì    | arriesgate         | arrisque          
 14 | take a walk          | 散步              | sàn bù             | dar un paseo       | dar um passeio    
 15 | take notes           | 做笔记             | zuò bǐ jì          | tomar notas        | fazer anotações   
 16 | take place           | 发生              | fā shēng           | tener lugar        | acontecer         
 17 | take time            | 花点时间            | huā diǎn shí jiān  | tómate tu tiempo   | reserve um tempo  
 18 | take action          | 采取行动            | cǎi qǔ xíng dòng   | tomar medidas      | agir              
 19 | take a shower        | 洗澡              | xǐ zǎo             | tomar una ducha    | tomar banho       
 20 | take responsibility  | 承担责任            | chéng dān zé rèn   | asumir la responsa | assumir a responsa
 21 | take advantage       | 利用              | lì yòng            | aprovecha          | aproveite         
 22 | have a look at       | 看看              | kàn kàn            | echa un vistazo a  | dê uma olhada em  
 23 | let me have a look   | 让我看看            | ràng wǒ kàn kàn    | déjame echar un vi | deixe-me dar uma o
 24 | have a break now     | 现在休息一下吧         | xiàn zài xiū xī yī | tómate un descanso | faça uma pausa ago
 25 | need to have a break | 需要休息一下          | xū yào xiū xī yī x | necesito un descan | preciso fazer uma 
 26 | have a conversation  | 与               | yǔ                 | tener una conversa | converse com      
 27 | want to have a conve | 对话想聊聊           | duì huà xiǎng liáo | quiero tener una c | quero conversar   
 28 | have fun tonight     | 今晚玩得开心          | jīn wǎn wán dé kāi | diviértete esta no | divirta-se esta no
 29 | hope you have fun    | 希望你玩得开心         | xī wàng nǐ wán dé  | Espero que te divi | espero que você se
 30 | have lunch together  | 一起吃午饭           | yì qǐ chī wǔ fàn   | almorzar juntos    | almoçarmos juntos 
 31 | let's have lunch     | 我们吃午饭吧          | wǒ men chī wǔ fàn  | vamos a almorzar   | vamos almoçar     
 32 | have a meeting at    | 在               | zài                | tener una reunión  | tenha uma reunião 
 33 | need to have a meeti | 开会需要开会          | kāi huì xū yào kāi | necesito tener una | preciso fazer uma 
 34 | have a problem with  | 有问题于            | yǒu wèn tí yú      | tienes un problema | tenho um problema 
 35 | I have a problem     | 有问题我有一个问题       | yǒu wèn tí wǒ yǒu  | Tengo un problema  | Estou com um probl
 36 | have an effect on    | 影响              | yǐng xiǎng         | tener un efecto so | tem um efeito em  
 37 | will have an effect  | 会有效果            | huì yǒu xiào guǒ   | tendrá un efecto   | terá um efeito    
 38 | have experience in   | 有经验             | yǒu jīng yàn       | tener experiencia  | tenho experiência 
 39 | do you have experien | 你有经验吗           | nǐ yǒu jīng yàn ma | tienes experiencia | você tem experiênc
 40 | have a chance to     | 有机会             | yǒu jī huì         | tener la oportunid | tenha a chance de 
 41 | you'll have a chance | 你会有机会           | nǐ huì yǒu jī huì  | tendrás una oportu | você terá uma chan
 42 | take a break now     | 现在休息一下          | xiàn zài xiū xī yī | tómate un descanso | faça uma pausa ago
 43 | need to take a break | 需要休息一下          | xū yào xiū xī yī x | necesito tomar un  | preciso fazer uma 
 44 | take a chance on     | 抓住机会            | zhuā zhù jī huì    | arriesgate         | arrisque          
 45 | willing to take a ch | 愿意冒险            | yuàn yì mào xiǎn   | dispuesto a arries | disposto a arrisca
 46 | take a walk outside  | 到外面散步           | dào wài miàn sàn b | sal a caminar      | dar um passeio lá 
 47 | let's take a walk    | 我们去散步吧          | wǒ men qù sàn bù b | vamos a caminar    | vamos dar um passe
 48 | take notes carefully | 认真记笔记           | rèn zhēn jì bǐ jì  | toma notas con cui | faça anotações com
 49 | remember to take not | 记得做笔记           | jì de zuò bǐ jì    | recuerda tomar not | lembre-se de fazer
 50 | take place tomorrow  | 明天举行            | míng tiān jǔ xíng  | tendrá lugar mañan | acontecerá amanhã 
 51 | will take place      | 将发生             | jiāng fā shēng     | se llevará a cabo  | acontecerá        
 52 | take time to         | 花点时间            | huā diǎn shí jiān  | tómate tiempo para | reserve um tempo p
 53 | it will take time    | 这需要时间           | zhè xū yào shí jiā | llevará tiempo     | vai demorar       
 54 | take action now      | 立即行动            | lì jí xíng dòng    | tome medidas ahora | entre em ação agor
 55 | time to take action  | 是时候采取行动了        | shì shí hòu cǎi qǔ | es hora de actuar  | hora de agir      
 56 | take a shower first  | 先洗澡             | xiān xǐ zǎo        | báñate primero     | tome um banho prim
 57 | going to take a show | 去洗澡             | qù xǐ zǎo          | voy a ducharme     | vou tomar banho   
 58 | take responsibility  | 承担              | chéng dān          | asumir la responsa | assumir a responsa
 59 | must take responsibi | 的责任必须承担责任       | de zé rèn bì xū ch | debe asumir la res | deve assumir a res
 60 | take advantage of    | 利用              | lì yòng            | aprovecha          | aproveite         
 61 | don't take advantage | 不要利用            | bú yào lì yòng     | no te aproveches   | não aproveite     
