PACK 68: Shopping
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | cost                 | 成本              | chéng běn          | costo              | custo             
  3 | price                | 价格              | jià gé             | precio             | preço             
  4 | cheap                | 便宜              | pián yi            | barato             | barato            
  5 | expensive            | 昂贵              | áng guì            | caro               | caro              
  6 | discount             | 折扣              | zhé kòu            | descuento          | desconto          
  7 | sale                 | 销售              | xiāo shòu          | venta              | venda             
  8 | cash                 | 现金              | xiàn jīn           | efectivo           | dinheiro          
  9 | credit               | 信用              | xìn yòng           | crédito            | crédito           
 10 | receipt              | 收据              | shōu jù            | recibo             | recibo            
 11 | customer             | 客户              | kè hù              | cliente            | cliente           
 12 | try                  | 尝试              | cháng shì          | prueba             | tente             
 13 | return               | 返回              | fǎn huí            | regresar           | retornar          
 14 | afford               | 买得起             | mǎi de qǐ          | permitirse         | pagar             
 15 | refund               | 退款              | tuì kuǎn           | reembolso          | reembolso         
 16 | purchase             | 购买              | gòu mǎi            | compra             | comprar           
 17 | browse               | 浏览              | liú lǎn            | navegar            | navegar           
 18 | haggle               | 讨价还价            | tǎo jià huán jià   | regatear           | pechinchar        
 19 | markup               | 标记              | biāo jì            | marcado            | marcação          
 20 | clearance            | 清关              | qīng guān          | liquidación        | liberação         
 21 | retail               | 零售              | líng shòu          | venta al por menor | varejo            
 22 | low cost             | 低成本             | dī chéng běn       | bajo costo         | baixo custo       
 23 | cost effective       | 成本效益            | chéng běn xiào yì  | rentable           | rentável          
 24 | low price            | 低价              | dī jià             | precio bajo        | preço baixo       
 25 | price tag            | 价格标签            | jià gé biāo qiān   | etiqueta de precio | etiqueta de preço 
 26 | very cheap           | 很便宜             | hěn pián yi        | muy barato         | muito barato      
 27 | cheap price          | 价格便宜            | jià gé pián yi     | precio barato      | preço barato      
 28 | too expensive        | 太贵了             | tài guì le         | demasiado caro     | muito caro        
 29 | expensive taste      | 味道贵             | wèi dào guì        | sabor caro         | gosto caro        
 30 | big discount         | 大折扣             | dà zhé kòu         | gran descuento     | grande desconto   
 31 | discount code        | 折扣码             | zhé kòu mǎ         | código de descuent | código de desconto
 32 | on sale              | 特价              | tè jià             | en venta           | à venda           
 33 | sale price           | 销售价格            | xiāo shòu jià gé   | precio de venta    | preço de venda    
 34 | pay cash             | 支付现金            | zhī fù xiàn jīn    | pagar en efectivo  | pagar em dinheiro 
 35 | cash only            | 只收现金            | zhǐ shōu xiàn jīn  | sólo efectivo      | somente dinheiro  
 36 | credit limit         | 信用额度            | xìn yòng é dù      | límite de crédito  | limite de crédito 
 37 | good credit          | 信用良好            | xìn yòng liáng hǎo | buen crédito       | bom crédito       
 38 | keep the receipt     | 保留收据            | bǎo liú shōu jù    | conservar el recib | guarde o recibo   
 39 | receipt paper        | 收据纸             | shōu jù zhǐ        | papel de recibo    | papel de recibo   
 40 | loyal customer       | 忠实客户            | zhōng shí kè hù    | cliente leal       | cliente fiel      
 41 | customer feedback    | 客户反馈            | kè hù fǎn kuì      | comentarios de los | feedback do client
 42 | try on               | 试穿              | shì chuān          | pruébalo           | experimente       
 43 | try it               | 试试吧             | shì shì ba         | pruébalo           | experimente       
 44 | return policy        | 退货政策            | tuì huò zhèng cè   | política de devolu | política de devolu
 45 | return it            | 返回              | fǎn huí            | devolverlo         | devolva           
 46 | can afford           | 买得起             | mǎi de qǐ          | puede permitírselo | pode pagar        
 47 | afford to buy        | 买得起             | mǎi de qǐ          | permitirse el lujo | ter dinheiro para 
 48 | full refund          | 全额退款            | quán é tuì kuǎn    | reembolso completo | reembolso total   
 49 | refund request       | 退款请求            | tuì kuǎn qǐng qiú  | solicitud de reemb | pedido de reembols
 50 | make a purchase      | 购买              | gòu mǎi            | realizar una compr | fazer uma compra  
 51 | purchase online      | 网上购买            | wǎng shàng gòu mǎi | comprar en línea   | comprar on-line   
 52 | browse around        | 浏览              | liú lǎn            | navegar alrededor  | navegue por aí    
 53 | browse through       | 浏览              | liú lǎn            | navegar a través   | navegue           
 54 | haggle price         | 讨价还价            | tǎo jià huán jià   | regatear precio    | pechinchar preço  
 55 | don't haggle         | 请勿讨价还价          | qǐng wù tǎo jià hu | no regatees        | não pechinche     
 56 | high markup          | 高标价             | gāo biāo jià       | alto margen de ben | marcação alta     
 57 | markup price         | 标价              | biāo jià           | precio de margen   | preço de margem   
 58 | clearance sale       | 清仓大甩卖           | qīng cāng dà shuǎi | venta de liquidaci | liquidação        
 59 | clearance item       | 清仓商品            | qīng cāng shāng pǐ | artículo en liquid | item de liquidação
 60 | retail price         | 零售价             | líng shòu jià      | precio de venta al | preço de varejo   
 61 | retail store         | 零售店             | líng shòu diàn     | tienda minorista   | loja de varejo    
