PACK 38: Time Expressions
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | now                  | 现在              | xiàn zài           | ahora              | agora             
  3 | later                | 稍后              | shāo hòu           | más tarde          | mais tarde        
  4 | soon                 | 很快              | hěn kuài           | pronto             | em breve          
  5 | always               | 总是              | zǒng shì           | siempre            | sempre            
  6 | sometimes            | 有时              | yǒu shí            | a veces            | às vezes          
  7 | often                | 经常              | jīng cháng         | a menudo           | frequentemente    
  8 | usually              | 通常              | tōng cháng         | normalmente        | normalmente       
  9 | early                | 早               | zǎo                | temprano           | cedo              
 10 | late                 | 迟到              | chí dào            | tarde              | atrasado          
 11 | already              | 已经              | yǐ jīng            | ya                 | já                
 12 | still                | 仍然              | réng rán           | todavía            | ainda             
 13 | ago                  | 前               | qián               | hace               | atrás             
 14 | finally              | 终于              | zhōng yú           | finalmente         | finalmente        
 15 | recently             | 最近              | zuì jìn            | recientemente      | recentemente      
 16 | ever                 | 曾经              | céng jīng          | alguna vez         | sempre            
 17 | anymore              | 不再              | bù zài             | ya no              | mais              
 18 | nowadays             | 如今              | rú jīn             | hoy en día         | hoje em dia       
 19 | eventually           | 最终              | zuì zhōng          | eventualmente      | eventualmente     
 20 | presently            | 目前              | mù qián            | actualmente        | atualmente        
 21 | formerly             | 以前              | yǐ qián            | anteriormente      | anteriormente     
 22 | right now            | 现在              | xiàn zài           | ahora mismo        | agora             
 23 | do it now            | 现在就做            | xiàn zài jiù zuò   | hazlo ahora        | faça isso agora   
 24 | see you later        | 稍后见             | shāo hòu jiàn      | nos vemos luego    | até mais          
 25 | later on             | 稍后              | shāo hòu           | más adelante       | mais tarde        
 26 | come soon            | 快来              | kuài lái           | ven pronto         | venha logo        
 27 | soon enough          | 很快              | hěn kuài           | muy pronto         | em breve          
 28 | always here          | 永远在这里           | yǒng yuǎn zài zhè  | siempre aquí       | sempre aqui       
 29 | always ready         | 时刻准备着           | shí kè zhǔn bèi zh | siempre listo      | sempre pronto     
 30 | sometimes I do       | 有时我会            | yǒu shí wǒ huì     | a veces lo hago    | às vezes eu faço  
 31 | sometimes not        | 有时不是            | yǒu shí bú shì     | a veces no         | às vezes não      
 32 | more often           | 更频繁地            | gèng pín fán dì    | más a menudo       | com mais frequênci
 33 | quite often          | 经常              | jīng cháng         | bastante a menudo  | com bastante frequ
 34 | usually do           | 通常做             | tōng cháng zuò     | normalmente lo hag | normalmente faço  
 35 | I usually go         | 我经常去            | wǒ jīng cháng qù   | Yo suelo ir        | Eu costumo ir     
 36 | too early            | 太早了             | tài zǎo le         | demasiado pronto   | muito cedo        
 37 | get there early      | 早点到那里           | zǎo diǎn dào nà lǐ | llegar temprano    | chegue cedo       
 38 | too late             | 太晚了             | tài wǎn le         | demasiado tarde    | tarde demais      
 39 | running late         | 迟到了             | chí dào le         | Llegando tarde     | atrasado          
 40 | already done         | 已经完成            | yǐ jīng wán chéng  | ya hecho           | já fiz            
 41 | already here         | 已经在这里           | yǐ jīng zài zhè lǐ | ya aquí            | já aqui           
 42 | still here           | 还在这里            | hái zài zhè lǐ     | todavía aquí       | ainda aqui        
 43 | still waiting        | 还在等待            | hái zài děng dài   | todavía esperando  | ainda esperando   
 44 | long ago             | 很久以前            | hěn jiǔ yǐ qián    | hace mucho tiempo  | há muito tempo    
 45 | years ago            | 几年前             | jǐ nián qián       | hace años          | anos atrás        
 46 | finally done         | 终于完成了           | zhōng yú wán chéng | finalmente hecho   | finalmente pronto 
 47 | finally here         | 终于来了            | zhōng yú lái le    | finalmente aquí    | finalmente aqui   
 48 | until recently       | 直到最近            | zhí dào zuì jìn    | hasta hace poco    | até recentemente  
 49 | recently added       | 最近添加            | zuì jìn tiān jiā   | agregado recientem | adicionado recente
 50 | ever after           | 从此以后            | cóng cǐ yǐ hòu     | para siempre       | para sempre       
 51 | have you ever        | 你有没有            | nǐ yǒu méi yǒu     | ¿alguna vez has    | você já           
 52 | not anymore          | 不再              | bù zài             | ya no              | não mais          
 53 | anymore questions    | 还有问题            | hái yǒu wèn tí     | más preguntas      | mais perguntas    
 54 | nowadays people      | 现在的人            | xiàn zài de rén    | la gente de hoy en | hoje em dia gente 
 55 | kids nowadays        | 现在的孩子           | xiàn zài de hái zi | niños hoy en día   | crianças hoje em d
 56 | eventually it will   | 最终它会            | zuì zhōng tā huì   | eventualmente lo h | eventualmente isso
 57 | eventually happen    | 最终发生            | zuì zhōng fā shēng | eventualmente suce | eventualmente acon
 58 | presently available  | 目前可用            | mù qián kě yòng    | actualmente dispon | atualmente disponí
 59 | presently working    | 目前正在工作          | mù qián zhèng zài  | actualmente trabaj | atualmente trabalh
 60 | formerly known       | 以前已知            | yǐ qián yǐ zhī     | anteriormente cono | anteriormente conh
 61 | formerly called      | 以前称为            | yǐ qián chēng wéi  | anteriormente llam | anteriormente cham
