function,description,reusability
decodeObfuscatedModule,Decodes obfuscated wordpack modules using base64 and zlib,10
loadAct,Loads a specific act module and returns metadata and packs,10
shuffleArray,Randomizes array order with Fisher-Yates algorithm,9
combineAndShuffleWords,Shuffles base and example words while keeping base words first,10
normalizeChar,Normalizes characters for accent-insensitive comparison,9
normalizeString,Simplifies strings for duplicate detection and comparison,9
findNextTypingPosition,Finds the next untyped position for typing mechanics,8
checkTypingKey,Checks whether a keystroke matches the expected character,8
isWordComplete,Determines if all required characters have been typed,8
coupleChineseWithPinyin,Couples Chinese characters with pinyin syllables,10
renderChineseWithPinyin,Creates DOM nodes for Chinese characters with paired pinyin,10
renderChineseText,Renders Chinese text with pinyin coupling in one call,10
getAudioContext,Creates or reuses the shared Web Audio context,9
playDingSound,Plays the shared multi-tone success bell,9
playBuzzSound,Plays the warm descending buzz for errors,9
playButtonClickSound,Plays the muffled UI click feedback,9
playCardFlipSound,Plays the textured card-flip sound effect,9
playKeyboardSound,Plays a mechanical keyboard tap for interactions,8
playScribbleSound,Plays a short scribble/typing click for text entry,9
levenshteinDistance,Computes edit distance for pronunciation scoring,8
calculateSimilarity,Converts expected vs heard text into percentage similarity,8
getFeedbackMessage,Returns friendly feedback string for a score,7
getScoreClass,Returns CSS class for feedback styling based on score,7
getTtsLanguageCode,Maps target language to TTS locale code,8
loadVoices,Loads speech synthesis voices asynchronously,7
speakWord,Speaks provided text using the chosen voice,7
getTargetLanguage,Retrieves primary target language from loaded metadata,9
getTranslationsConfig,Returns translation mapping from loaded metadata,8
getDefaultTranslation,Returns default translation column key from metadata,8
getWordColumns,Returns available column names from metadata,8
getValidLanguages,Lists detected target languages across loaded acts,7
toTitleCase,Converts strings to Title Case for display,6
autoSelectFirstActAndPack,Returns the first available act/pack combination,8
generateWrongAnswers,Generates wrong answers for multiple choice using act data,8
validateTargetLanguageConsistency,Warns if loaded acts use different target languages,7
