PACK 96: Food Preparation
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | peel                 | 剥皮              | bāo pí             | pelar              | descascar         
  3 | cut                  | 切               | qiè                | cortar             | cortar            
  4 | dice                 | 骰子              | tóu zi             | dados              | dados             
  5 | mince                | 切碎              | qiè suì            | picar              | picar             
  6 | grate                | 炉排              | lú pái             | rejilla            | grelha            
  7 | mash                 | 捣碎              | dǎo suì            | puré               | purê              
  8 | mix                  | 混合              | hùn hé             | mezclar            | misturar          
  9 | measure              | 测量              | cè liáng           | medida             | medir             
 10 | combine              | 结合              | jié hé             | combinar           | combinar          
 11 | spread               | 传播              | chuán bō           | difundir           | espalhar          
 12 | stuff                | 东西              | dōng xī            | cosas              | coisas            
 13 | wrap                 | 包裹              | bāo guǒ            | envolver           | embrulhar         
 14 | garnish              | 装饰              | zhuāng shì         | decorar            | enfeitar          
 15 | serve                | 服务              | fú wù              | servir             | servir            
 16 | recipe               | 食谱              | shí pǔ             | receta             | receita           
 17 | ingredient           | 成分              | chéng fèn          | ingrediente        | ingrediente       
 18 | preparation          | 准备              | zhǔn bèi           | preparación        | preparação        
 19 | knead                | 揉捏              | róu niē            | amasar             | amassar           
 20 | tenderize            | 嫩化              | nèn huà            | ablandar           | amaciar           
 21 | julienne             | 切丝              | qiè sī             | juliana            | juliana           
 22 | peel potato          | 土豆去皮            | tǔ dòu qù pí       | pelar patatas      | descascar batata  
 23 | peel apple           | 苹果去皮            | píng guǒ qù pí     | pelar manzana      | descascar maçã    
 24 | cut onion            | 切洋葱             | qiè yáng cōng      | cortar cebolla     | cebola cortada    
 25 | cut into pieces      | 切成块             | qiè chéng kuài     | cortado en trozos  | cortado em pedaços
 26 | dice tomato          | 番茄切丁            | fān qié qiè dīng   | tomate en dados    | dados de tomate   
 27 | dice small           | 骰子小             | tóu zi xiǎo        | dados pequeños     | dados pequenos    
 28 | mince garlic         | 大蒜切末            | dà suàn qiè mò     | picar ajo          | alho picado       
 29 | finely mince         | 切碎              | qiè suì            | picar finamente    | picar finamente   
 30 | grate cheese         | 磨碎奶酪            | mó suì nǎi lào     | queso rallado      | ralar queijo      
 31 | grate ginger         | 磨姜              | mó jiāng           | rallar jengibre    | ralar gengibre    
 32 | mash potato          | 土豆泥             | tǔ dòu ní          | puré de patatas    | purê de batata    
 33 | mash together        | 混在一起            | hùn zài yì qǐ      | triturar juntos    | amasse            
 34 | mix well             | 搅拌均匀            | jiǎo bàn jūn yún   | mezclar bien       | misture bem       
 35 | mix ingredients      | 混合配料            | hùn hé pèi liào    | mezclar ingredient | misture os ingredi
 36 | measure carefully    | 仔细测量            | zǐ xì cè liáng     | medir con cuidado  | meça com cuidado  
 37 | measure flour        | 测量面粉            | cè liáng miàn fěn  | medir la harina    | medir farinha     
 38 | combine ingredients  | 混合成分            | hùn hé chéng fēn   | combinar ingredien | combinar ingredien
 39 | combine together     | 结合在一起           | jié hé zài yì qǐ   | combinar juntos    | combinar          
 40 | spread butter        | 涂黄油             | tú huáng yóu       | untar mantequilla  | barrar manteiga   
 41 | spread evenly        | 均匀分布            | jūn yún fēn bù     | distribuir uniform | espalhar uniformem
 42 | stuff turkey         | 火鸡东西            | huǒ jī dōng xī     | cosas de pavo      | rechear peru      
 43 | stuff peppers        | 辣椒料             | là jiāo liào       | rellenar pimientos | rechear pimentões 
 44 | wrap gift            | 包装礼物            | bāo zhuāng lǐ wù   | envolver regalo    | embrulhar presente
 45 | wrap in foil         | 用箔纸包裹           | yòng bó zhǐ bāo gu | envolver en papel  | embrulhe em papel 
 46 | garnish with         | 用               | yòng               | decorar con        | decore com        
 47 | garnish nicely       | 装饰装饰精美          | zhuāng shì zhuāng  | decorar muy bien   | decore bem        
 48 | serve hot            | 趁热上桌            | chèn rè shàng zhuō | servir caliente    | sirva quente      
 49 | serve cold           | 冷食              | lěng shí           | servir frío        | servir frio       
 50 | follow recipe        | 按照食谱            | àn zhào shí pǔ     | sigue la receta    | segue receita     
 51 | recipe book          | 食谱书             | shí pǔ shū         | libro de recetas   | livro de receitas 
 52 | fresh ingredient     | 新鲜食材            | xīn xiān shí cái   | ingrediente fresco | ingrediente fresco
 53 | main ingredient      | 主要成分            | zhǔ yào chéng fèn  | ingrediente princi | ingrediente princi
 54 | food preparation     | 食物准备            | shí wù zhǔn bèi    | preparación de ali | preparação de alim
 55 | preparation time     | 准备时间            | zhǔn bèi shí jiān  | tiempo de preparac | tempo de preparaçã
 56 | knead dough          | 揉面团             | róu miàn tuán      | amasar la masa     | sove a massa      
 57 | knead well           | 揉匀              | róu yún            | amasar bien        | amasse bem        
 58 | tenderize meat       | 使肉变嫩            | shǐ ròu biàn nèn   | ablandar la carne  | amaciar a carne   
 59 | tenderize with       | 用               | yòng               | ablandar con       | amaciar com       
 60 | julienne carrots     | 嫩化胡萝卜切丝         | nèn huà hú luó bo  | zanahorias en juli | cenouras juliana  
 61 | julienne cut         | 切丝              | qiè sī             | corte juliana      | corte juliana     
