PACK 78: Conjunctions
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | and                  | 和               | hé                 | y                  | e                 
  3 | but                  | 但是              | dàn shì            | pero               | mas               
  4 | or                   | 或               | huò                | o                  | ou                
  5 | so                   | 所以              | suǒ yǐ             | entonces           | então             
  6 | because              | 因为              | yīn wèi            | porque             | porque            
  7 | if                   | 如果              | rú guǒ             | si                 | se                
  8 | after                | 之后              | zhī hòu            | después            | depois            
  9 | while                | 之后而             | zhī hòu ér         | mientras           | enquanto          
 10 | although             | 虽然              | suī rán            | aunque             | embora            
 11 | though               | 虽然              | suī rán            | aunque             | embora            
 12 | unless               | 除非              | chú fēi            | a menos que        | a menos que       
 13 | until                | 直到              | zhí dào            | hasta              | até               
 14 | since                | 自从              | zì cóng            | desde              | desde             
 15 | as                   | 作为              | zuò wéi            | como               | como              
 16 | than                 | 比               | bǐ                 | que                | do que            
 17 | once                 | 一次              | yī cì              | una vez            | uma vez           
 18 | provided             | 提供              | tí gōng            | proporcionado      | fornecido         
 19 | lest                 | 以免              | yǐ miǎn            | para que           | para que          
 20 | whereas              | 而               | ér                 | considerando que   | enquanto          
 21 | whether              | 是否              | shì fǒu            | si                 | se                
 22 | you and me           | 你和我             | nǐ hé wǒ           | tu y yo            | você e eu         
 23 | and so               | 所以              | suǒ yǐ             | y así              | e então           
 24 | but still            | 但仍然             | dàn réng rán       | pero aún así       | mas ainda assim   
 25 | but also             | 还有              | hái yǒu            | pero también       | mas também        
 26 | yes or no            | 是或否             | shì huò fǒu        | si o no            | sim ou não        
 27 | or else              | 否则              | fǒu zé             | o si no            | ou então          
 28 | so what              | 那又怎样            | nà yòu zěn yàng    | y que              | e daí             
 29 | so that              | 这样              | zhè yàng           | para que           | então             
 30 | because of           | 因为              | yīn wèi            | debido a           | por causa de      
 31 | just because         | 只是因为            | zhǐ shì yīn wèi    | sólo porque        | só porque         
 32 | if only              | 如果只是            | rú guǒ zhǐ shì     | si solo            | se apenas         
 33 | if so                | 如果是这样           | rú guǒ shì zhè yàn | si es así          | se sim            
 34 | after that           | 之后              | zhī hòu            | después de eso     | depois disso      
 35 | after all            | 毕竟              | bì jìng            | después de todo    | afinal            
 36 | while waiting        | 等待时             | děng dài shí       | mientras espera    | enquanto espera   
 37 | for a while          | 一会儿             | yī huì er          | por un tiempo      | por um tempo      
 38 | although it          | 虽然它             | suī rán tā         | aunque             | embora            
 39 | although I           | 虽然我             | suī rán wǒ         | aunque yo          | embora eu         
 40 | even though          | 即使              | jí shǐ             | aunque             | mesmo que         
 41 | as though            | 就好像             | jiù hǎo xiàng      | como si            | como se           
 42 | unless you           | 除非你             | chú fēi nǐ         | a menos que        | a menos que você  
 43 | unless otherwise     | 除非另有说明          | chú fēi lìng yǒu s | a menos que se ind | a menos que de out
 44 | until now            | 到现在为止           | dào xiàn zài wéi z | hasta ahora        | até agora         
 45 | until then           | 直到那时            | zhí dào nà shí     | hasta entonces     | até então         
 46 | since then           | 从那时起            | cóng nà shí qǐ     | desde entonces     | desde então       
 47 | ever since           | 自从              | zì cóng            | desde entonces     | desde então       
 48 | as well              | 还有              | hái yǒu            | también            | também            
 49 | as if                | 就好像             | jiù hǎo xiàng      | como si            | como se           
 50 | greater than         | 大于              | dà yú              | mayor que          | maior que         
 51 | rather than          | 而不是             | ér bú shì          | en lugar de        | em vez de         
 52 | once again           | 再次              | zài cì             | una vez más        | mais uma vez      
 53 | at once              | 立即              | lì jí              | de una vez         | de uma vez        
 54 | provided that        | 前提是             | qián tí shì        | siempre que        | desde que         
 55 | provided with        | 提供              | tí gōng            | provisto de        | fornecido com     
 56 | lest we              | 以免我们            | yǐ miǎn wǒ men     | no sea que         | para que não      
 57 | lest you             | 免得你             | miǎn de nǐ         | para que no        | para que você     
 58 | whereas I            | 而我              | ér wǒ              | mientras que yo    | enquanto eu       
 59 | whereas the          | 而               | ér                 | mientras que       | enquanto o        
 60 | whether or not       | 是否              | shì fǒu            | si o no            | se ou não         
 61 | whether to           | 是否              | shì fǒu            | ya sea para        | se deve           
