Pack_Number,Pack_Title,Difficulty_Act,Chinese_Base_Words,Chinese_Example_Words,Chinese_Combined_Words
1,Greetings & Goodbyes,Act I: Foundation,"[你好,您好,早安,午安,晚安,再见,拜拜,回头见,谢谢,多谢,不客气,对不起,没关系,请,欢迎,好久不见,再会,保重,慢走]","[你好吗,你好啊,您好先生,您好请问,早安朋友,说声早安,午安各位,祝你午安,晚安宝贝,说声晚安,再见朋友,说声再见,拜拜了,说声拜拜,回头见啊,我们回头见,谢谢你,谢谢大家,多谢帮忙,多谢关心,太不客气了,别不客气,对不起我迟到了,说声对不起,没关系的,真的没关系,请坐,请进,欢迎光临,欢迎回来,好久不见了,我们好久不见,再会朋友,我们再会,保重身体,请保重,慢走啊,请慢走]","[你好,您好,早安,午安,晚安,再见,拜拜,回头见,谢谢,多谢,不客气,对不起,没关系,请,欢迎,好久不见,再会,保重,慢走,你好吗,你好啊,您好先生,您好请问,早安朋友,说声早安,午安各位,祝你午安,晚安宝贝,说声晚安,再见朋友,说声再见,拜拜了,说声拜拜,回头见啊,我们回头见,谢谢你,谢谢大家,多谢帮忙,多谢关心,太不客气了,别不客气,对不起我迟到了,说声对不起,没关系的,真的没关系,请坐,请进,欢迎光临,欢迎回来,好久不见了,我们好久不见,再会朋友,我们再会,保重身体,请保重,慢走啊,请慢走]"
2,Personal Pronouns,Act I: Foundation,"[我,你,您,他,她,它,我们,你们,他们,她们,咱们,自己,别人,人家,大家,每个人,某人]","[我来了,是我,你好,是你,您好,是您,他来了,是他,她来了,是她,它是,就是它,我们走,是我们,你们好,是你们,他们来了,是他们,她们都在,是她们,咱们走吧,是咱们,自己来,做好自己,别人说,问问别人,人家的,听人家说,大家好,请大家,每个人都,是每个人,某人说,有某人]","[我,你,您,他,她,它,我们,你们,他们,她们,咱们,自己,别人,人家,大家,每个人,某人,我来了,是我,你好,是你,您好,是您,他来了,是他,她来了,是她,它是,就是它,我们走,是我们,你们好,是你们,他们来了,是他们,她们都在,是她们,咱们走吧,是咱们,自己来,做好自己,别人说,问问别人,人家的,听人家说,大家好,请大家,每个人都,是每个人,某人说,有某人]"
3,Demonstratives & Pointers,Act I: Foundation,"[这,那,这个,那个,这些,那些,这里,那里,这儿,那儿,这样,那样,这种,那种,这边,那边,此,彼]","[这是,就这,那是,就那,这个好,买这个,那个好,要那个,这些人,买这些,那些书,拿那些,这里好,在这里,那里远,去那里,这儿好,来这儿,那儿远,去那儿,这样做,就这样,那样说,像那样,这种人,是这种,那种书,买那种,这边走,往这边,那边看,去那边,此时,由此,彼此,知彼]","[这,那,这个,那个,这些,那些,这里,那里,这儿,那儿,这样,那样,这种,那种,这边,那边,此,彼,这是,就这,那是,就那,这个好,买这个,那个好,要那个,这些人,买这些,那些书,拿那些,这里好,在这里,那里远,去那里,这儿好,来这儿,那儿远,去那儿,这样做,就这样,那样说,像那样,这种人,是这种,那种书,买那种,这边走,往这边,那边看,去那边,此时,由此,彼此,知彼]"
4,Yes No & Responses,Act I: Foundation,"[对,好,行,没问题,不,没有,不是,不行,不可以,没,别,好的,是的,对的,对了,算了,没事,准确]","[答对了,说得对,好啊,很好,行啊,可行,没问题的,绝对没问题,不要,不对,没有人,真没有,不是我,这不是,不行啊,真不行,不可以做,真的不可以,没了,真没,别走,别说,好的呢,真的好的,是的呢,真是的,对的呀,完全对的,对了吧,说对了,算了吧,就算了,没事的,真没事,很准确,不准确]","[对,好,行,没问题,不,没有,不是,不行,不可以,没,别,好的,是的,对的,对了,算了,没事,准确,答对了,说得对,好啊,很好,行啊,可行,没问题的,绝对没问题,不要,不对,没有人,真没有,不是我,这不是,不行啊,真不行,不可以做,真的不可以,没了,真没,别走,别说,好的呢,真的好的,是的呢,真是的,对的呀,完全对的,对了吧,说对了,算了吧,就算了,没事的,真没事,很准确,不准确]"
5,Essential Verbs I,Act I: Foundation,"[是,有,在,来,去,吃,喝,看,听,说,做,给,拿,走,坐,站,睡,起,到]","[是的,就是,有钱,没有,在家,不在,来吧,快来,去吧,快去,吃饭,吃菜,喝水,喝茶,看书,看电视,听歌,听音乐,说话,说吧,做事,做饭,给你,给我,拿来,拿走,走吧,快走,坐下,请坐,站起,站好,睡觉,睡吧,起来,起床,到了,到达]","[是,有,在,来,去,吃,喝,看,听,说,做,给,拿,走,坐,站,睡,起,到,是的,就是,有钱,没有,在家,不在,来吧,快来,去吧,快去,吃饭,吃菜,喝水,喝茶,看书,看电视,听歌,听音乐,说话,说吧,做事,做饭,给你,给我,拿来,拿走,走吧,快走,坐下,请坐,站起,站好,睡觉,睡吧,起来,起床,到了,到达]"
6,Essential Verbs II,Act I: Foundation,"[要,想,能,会,可以,应该,必须,愿意,开始,结束,继续,停止,等,帮,试,用,该,须,肯]","[要去,我要,想要,想去,能做,能行,会做,不会,可以吗,可以的,应该去,应该做,必须做,必须去,愿意帮,很愿意,开始了,刚开始,结束了,快结束,继续做,继续走,停止吧,请停止,等一下,等等,帮忙,帮帮我,试试,试一下,用它,用这个,该走了,该做,须知,须要,肯定,肯做]","[要,想,能,会,可以,应该,必须,愿意,开始,结束,继续,停止,等,帮,试,用,该,须,肯,要去,我要,想要,想去,能做,能行,会做,不会,可以吗,可以的,应该去,应该做,必须做,必须去,愿意帮,很愿意,开始了,刚开始,结束了,快结束,继续做,继续走,停止吧,请停止,等一下,等等,帮忙,帮帮我,试试,试一下,用它,用这个,该走了,该做,须知,须要,肯定,肯做]"
7,Numbers 0-10,Act I: Foundation,"[零,一,二,两,三,四,五,六,七,八,九,十,第,首,末,整]","[零分,从零开始,一个,第一,二月,第二,两个,两人,三个,第三,四月,第四,五个,第五,六月,第六,七个,第七,八月,第八,九个,第九,十个,第十,第一名,第二名,首先,首要,末尾,末班,整天,整个]","[零,一,二,两,三,四,五,六,七,八,九,十,第,首,末,整,零分,从零开始,一个,第一,二月,第二,两个,两人,三个,第三,四月,第四,五个,第五,六月,第六,七个,第七,八月,第八,九个,第九,十个,第十,第一名,第二名,首先,首要,末尾,末班,整天,整个]"
8,Core Measure Words,Act I: Foundation,"[个,只,条,张,件,本,杯,瓶,块,些,次,位,双,口,套,种,排,群,副]","[一个人,这个,一只猫,两只,一条路,几条,一张纸,两张,一件事,几件,一本书,两本,一杯水,几杯,一瓶酒,两瓶,一块钱,几块,一些人,这些,一次机会,几次,一位老师,各位,一双鞋,两双,一口气,几口,一套房,整套,一种方法,几种,一排座位,前排,一群人,成群,一副眼镜,两副]","[个,只,条,张,件,本,杯,瓶,块,些,次,位,双,口,套,种,排,群,副,一个人,这个,一只猫,两只,一条路,几条,一张纸,两张,一件事,几件,一本书,两本,一杯水,几杯,一瓶酒,两瓶,一块钱,几块,一些人,这些,一次机会,几次,一位老师,各位,一双鞋,两双,一口气,几口,一套房,整套,一种方法,几种,一排座位,前排,一群人,成群,一副眼镜,两副]"
9,Basic Question Words,Act I: Foundation,"[什么,谁,哪,哪个,哪里,哪儿,怎么,怎样,为什么,多少,几,多久,多远,多大,多高]","[什么事,是什么,谁来了,是谁,哪位,哪天,哪个好,选哪个,哪里人,在哪里,哪儿好,去哪儿,怎么办,怎么做,怎样做,怎样好,为什么呢,问为什么,多少钱,有多少,几点,几个,多久了,要多久,多远啊,有多远,多大了,有多大,多高啊,有多高]","[什么,谁,哪,哪个,哪里,哪儿,怎么,怎样,为什么,多少,几,多久,多远,多大,多高,什么事,是什么,谁来了,是谁,哪位,哪天,哪个好,选哪个,哪里人,在哪里,哪儿好,去哪儿,怎么办,怎么做,怎样做,怎样好,为什么呢,问为什么,多少钱,有多少,几点,几个,多久了,要多久,多远啊,有多远,多大了,有多大,多高啊,有多高]"
10,Time Essentials,Act I: Foundation,"[现在,今天,明天,昨天,后天,前天,早上,中午,下午,晚上,时间,以前,以后,每天,刚才,马上,一会儿]","[现在走,就现在,今天好,就今天,明天见,等明天,昨天去,在昨天,后天来,等后天,前天到,在前天,早上好,在早上,中午吃,到中午,下午见,在下午,晚上好,在晚上,时间到,没时间,以前好,在以前,以后说,在以后,每天都,坚持每天,刚才说,就刚才,马上到,马上来,一会儿见,等一会儿]","[现在,今天,明天,昨天,后天,前天,早上,中午,下午,晚上,时间,以前,以后,每天,刚才,马上,一会儿,现在走,就现在,今天好,就今天,明天见,等明天,昨天去,在昨天,后天来,等后天,前天到,在前天,早上好,在早上,中午吃,到中午,下午见,在下午,晚上好,在晚上,时间到,没时间,以前好,在以前,以后说,在以后,每天都,坚持每天,刚才说,就刚才,马上到,马上来,一会儿见,等一会儿]"
