PACK 82: Travel
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | vacation             | 假期              | jià qī             | vacaciones         | férias            
  3 | holiday              | 假期              | jià qī             | vacaciones         | feriado           
  4 | tour                 | 游览              | yóu lǎn            | recorrido          | passeio           
  5 | destination          | 目的地             | mù dì dì           | destino            | destino           
  6 | suitcase             | 手提箱             | shǒu tí xiāng      | maleta             | mala              
  7 | pack                 | 包               | bāo                | paquete            | pacote            
  8 | tourist              | 旅游              | lǚ yóu             | turista            | turista           
  9 | sightseeing          | 观光              | guān guāng         | turismo            | passeios turístico
 10 | itinerary            | 行程              | xíng chéng         | itinerario         | itinerário        
 11 | guidebook            | 指南              | zhǐ nán            | guía               | guia              
 12 | souvenir             | 纪念品             | jì niàn pǐn        | recuerdo           | lembrança         
 13 | backpack             | 背包              | bēi bāo            | mochila            | mochila           
 14 | explore              | 探索              | tàn suǒ            | explorar           | explorar          
 15 | adventure            | 冒险              | mào xiǎn           | aventura           | aventura          
 16 | excursion            | 游览              | yóu lǎn            | excursión          | excursão          
 17 | wander               | 徘徊              | pái huái           | deambular          | vagar             
 18 | trek                 | 跋涉              | bá shè             | caminata           | caminhada         
 19 | voyage               | 航程              | háng chéng         | viaje              | viagem            
 20 | cruise               | 巡航              | xún háng           | crucero            | cruzeiro          
 21 | expedition           | 远征              | yuǎn zhēng         | expedición         | expedição         
 22 | summer vacation      | 暑假              | shǔ jià            | vacaciones de vera | férias de verão   
 23 | vacation time        | 假期时间            | jià qī shí jiān    | tiempo de vacacion | período de férias 
 24 | national holiday     | 国庆节             | guó qìng jié       | feriado nacional   | feriado nacional  
 25 | holiday season       | 假期              | jià qī             | temporada navideña | temporada de féria
 26 | city tour            | 城市游览            | chéng shì yóu lǎn  | recorrido por la c | passeio pela cidad
 27 | tour guide           | 导游              | dǎo yóu            | guía turístico     | guia turístico    
 28 | travel destination   | 旅游目的地           | lǚ yóu mù dì dì    | destino de viaje   | destino de viagem 
 29 | final destination    | 最终目的地           | zuì zhōng mù dì dì | destino final      | destino final     
 30 | pack suitcase        | 收拾行李            | shōu shí xíng lǐ   | empacar maleta     | arrumar a mala    
 31 | rolling suitcase     | 拉杆箱             | lā gǎn xiāng       | maleta con ruedas  | mala de rodinhas  
 32 | pack light           | 打包灯             | dǎ bāo dēng        | paquete ligero     | embalar luz       
 33 | pack everything      | 打包所有东西          | dǎ bāo suǒ yǒu dōn | empacar todo       | embalar tudo      
 34 | foreign tourist      | 外国游客            | wài guó yóu kè     | turista extranjero | turista estrangeir
 35 | tourist attraction   | 旅游胜地            | lǚ yóu shèng dì    | atracción turístic | atração turística 
 36 | go sightseeing       | 去观光             | qù guān guāng      | hacer turismo      | passear           
 37 | sightseeing tour     | 观光旅游            | guān guāng lǚ yóu  | visita turística   | passeio turístico 
 38 | travel itinerary     | 旅游行程            | lǚ yóu xíng chéng  | itinerario de viaj | roteiro de viagem 
 39 | itinerary plan       | 行程计划            | xíng chéng jì huà  | plan de itinerario | plano de itinerári
 40 | travel guidebook     | 旅游指南            | lǚ yóu zhǐ nán     | guía de viaje      | guia de viagem    
 41 | guidebook recommenda | 旅游指南推荐          | lǚ yóu zhǐ nán tuī | recomendación de l | recomendação do gu
 42 | buy souvenir         | 购买纪念品           | gòu mǎi jì niàn pǐ | comprar souvenir   | comprar lembrança 
 43 | souvenir shop        | 纪念品店            | jì niàn pǐn diàn   | tienda de souvenir | loja de souvenirs 
 44 | carry backpack       | 携带背包            | xié dài bēi bāo    | llevar mochila     | carregar mochila  
 45 | backpack trip        | 背包旅行            | bēi bāo lǚ xíng    | viaje de mochila   | viagem de mochila 
 46 | explore the city     | 探索城市            | tàn suǒ chéng shì  | explorar la ciudad | explorar a cidade 
 47 | explore new places   | 探索新地方           | tàn suǒ xīn dì fān | explorar nuevos lu | explorar novos lug
 48 | big adventure        | 大冒险             | dà mào xiǎn        | gran aventura      | grande aventura   
 49 | adventure travel     | 冒险旅行            | mào xiǎn lǚ xíng   | viajes de aventura | viagens de aventur
 50 | day excursion        | 一日游             | yī rì yóu          | excursión de un dí | excursão de um dia
 51 | excursion trip       | 短途旅行            | duǎn tú lǚ xíng    | viaje de excursión | viagem de excursão
 52 | wander around        | 闲逛              | xián guàng         | pasear             | passear           
 53 | wander off           | 溜走              | liū zǒu            | alejarse           | vagar             
 54 | mountain trek        | 山地跋涉            | shān dì bá shè     | caminata de montañ | caminhada na monta
 55 | trek through         | 徒步穿越            | tú bù chuān yuè    | caminata a través  | percorrer         
 56 | long voyage          | 长途航行            | cháng tú háng xíng | largo viaje        | longa viagem      
 57 | voyage across        | 航行跨越            | háng xíng kuà yuè  | viaje a través     | viagem através    
 58 | ocean cruise         | 海洋巡游            | hǎi yáng xún yóu   | crucero por el océ | cruzeiro oceânico 
 59 | cruise ship          | 游轮              | yóu lún            | crucero            | navio de cruzeiro 
 60 | polar expedition     | 极地探险            | jí dì tàn xiǎn     | expedición polar   | expedição polar   
 61 | expedition team      | 探险队             | tàn xiǎn duì       | equipo de expedici | equipe de expediçã
