english,chinese,pinyin,spanish,portuguese
pollution,污染,wū rǎn,contaminación,poluição
recycle,回收,huí shōu,reciclar,reciclar
renewable,可再生,kě zài shēng,renovable,renovável
sustainable,可持续,kě chí xù,sostenible,sustentável
climate,气候,qì hòu,clima,clima
global,全球,quán qiú,global,globais
energy,能源,néng yuán,energía,energia
waste,废物,fèi wù,residuos,resíduos
wildlife,野生动物,yě shēng dòng wù,vida silvestre,vida selvagem
conservation,保护,bǎo hù,conservación,conservação
sanctuary,庇护所,bì hù suǒ,santuario,santuário
ecosystem,生态系统,shēng tài xì tǒng,ecosistema,ecossistema
footprint,足迹,zú jì,huella,pegada
carbon,碳,tàn,carbono,carbono
emissions,排放,pái fàng,emisiones,emissões
organic,有机,yǒu jī,orgánico,orgânico
ecology,生态,shēng tài,ecología,ecologia
solar,太阳能,tài yáng néng,solar,solar
wind,风,fēng,viento,vento
endangered,濒危,bīn wēi,en peligro de extinción,em perigo
air pollution,空气污染,kōng qì wū rǎn,contaminación del aire,poluição atmosférica
pollution level,污染程度,wū rǎn chéng dù,nivel de contaminación,nível de poluição
recycle plastic,回收塑料,huí shōu sù liào,reciclar plástico,reciclar plástico
recycle bin,回收站,huí shōu zhàn,papelera de reciclaje,lixeira
renewable energy,可再生能源,kě zài shēng néng yuán,energía renovable,energia renovável
renewable resources,再生资源,zài shēng zī yuán,recursos renovables,recursos renováveis
sustainable living,可持续生活,kě chí xù shēng huó,vida sostenible,vida sustentável
sustainable development,可持续发展,kě chí xù fā zhǎn,desarrollo sostenible,desenvolvimento sustentável
climate crisis,气候危机,qì hòu wēi jī,crisis climática,crise climática
tropical climate,热带气候,rè dài qì hòu,clima tropical,clima tropical
global warming,全球变暖,quán qiú biàn nuǎn,calentamiento global,aquecimento global
global issue,全球问题,quán qiú wèn tí,problema mundial,questão global
clean energy,清洁能源,qīng jié néng yuán,energía limpia,energia limpa
save energy,节省能源,jié shěng néng yuán,ahorrar energía,economizar energia
reduce waste,减少浪费,jiǎn shǎo làng fèi,reducir el desperdicio,reduzir o desperdício
waste management,废物管理,fèi wù guǎn lǐ,gestión de residuos,gestão de resíduos
protect wildlife,保护野生动物,bǎo hù yě shēng dòng wù,proteger la vida silvestre,proteger a vida selvagem
wildlife sanctuary,野生动物保护区,yě shēng dòng wù bǎo hù qū,santuario de vida silvestre,santuário de vida selvagem
nature conservation,自然保护,zì rán bǎo hù,conservación de la naturaleza,conservação da natureza
conservation effort,保护工作,bǎo hù gōng zuò,esfuerzo de conservación,esforço de conservação
animal sanctuary,动物保护区,dòng wù bǎo hù qū,santuario de animales,santuário animal
bird sanctuary,鸟类保护区,niǎo lèi bǎo hù qū,santuario de aves,santuário de pássaros
fragile ecosystem,脆弱的生态系统,cuì ruò de shēng tài xì tǒng,ecosistema frágil,ecossistema frágil
ecosystem balance,生态系统平衡,shēng tài xì tǒng píng héng,equilibrio del ecosistema,equilíbrio do ecossistema
ecological footprint,生态足迹,shēng tài zú jì,huella ecológica,pegada ecológica
reduce footprint,减少碳足迹,jiǎn shǎo tàn zú jì,reducir la huella,reduzir a pegada
carbon emission,碳排放,tàn pái fàng,emisiones de carbono,emissão de carbono
low carbon,低碳,dī tàn,bajas emisiones de carbono,baixo carbono
reduce emissions,减少排放,jiǎn shǎo pái fàng,reducir las emisiones,reduzir emissões
emissions standard,排放标准,pái fàng biāo zhǔn,norma de emisiones,padrão de emissões
organic food,有机食品,yǒu jī shí pǐn,alimentos orgánicos,alimentos orgânicos
organic farming,有机农业,yǒu jī nóng yè,agricultura ecológica,agricultura biológica
study ecology,研究生态学,yán jiū shēng tài xué,estudiar ecología,estudar ecologia
ecology class,生态课,shēng tài kè,clase de ecología,aula de ecologia
solar power,太阳能,tài yáng néng,energía solar,energia solar
solar panel,太阳能电池板,tài yáng néng diàn chí bǎn,panel solar,painel solar
wind power,风力发电,fēng lì fā diàn,energía eólica,energia eólica
wind turbine,风力发电机,fēng lì fā diàn jī,turbina eólica,turbina eólica
endangered wildlife,濒临灭绝的野生动物,bīn lín miè jué de yě shēng dòng wù,fauna en peligro de extinción,vida selvagem ameaçada
endangered animal,濒危动物,bīn wēi dòng wù,animal en peligro de extinción,animal em extinção
