Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
chinese,8,Core Measure Words,15,khmer,ជួរខ្ពស់ || ក្រុម,ជួរខ្ពស់ ក្រុម,Remove pipe symbols from khmer translation
chinese,8,Core Measure Words,42,khmer,| ដង្ហើមមួយ,ដង្ហើមមួយ,Remove pipe symbols from khmer translation
chinese,9,Basic Question Words,14,khmer,| តើមានប៉ុណ្ណា ?,តើមានប៉ុណ្ណា ?,Remove pipe symbols from khmer translation
chinese,9,Basic Question Words,23,khmer,| មួយណាដែលត្រូវជ្រើសរើស,មួយណាដែលត្រូវជ្រើសរើស,Remove pipe symbols from khmer translation
chinese,9,Basic Question Words,27,khmer,| កន្លែងដែលត្រូវទៅ,កន្លែងដែលត្រូវទៅ,Remove pipe symbols from khmer translation
chinese,9,Basic Question Words,34,khmer,| តើមានមនុស្សប៉ុន្មាននាក់,តើមានមនុស្សប៉ុន្មាននាក់,Remove pipe symbols from khmer translation
chinese,9,Basic Question Words,39,khmer,| តើមានរយៈពេលប៉ុន្មាន,តើមានរយៈពេលប៉ុន្មាន,Remove pipe symbols from khmer translation
chinese,9,Basic Question Words,40,khmer,| តើមានប៉ុណ្ណា ?,តើមានប៉ុណ្ណា ?,Remove pipe symbols from khmer translation
chinese,9,Basic Question Words,44,khmer,តើខ្ពង់ខ្ពស់ប៉ុណ្ណា ?| ខ្ពស់ណាស់,តើខ្ពង់ខ្ពស់ប៉ុណ្ណា ? ខ្ពស់ណាស់,Remove pipe symbols from khmer translation
chinese,10,Time Essentials,4,khmer,ថ្ងៃស្អែក || ម្សិលមិញ,ថ្ងៃស្អែក ម្សិលមិញ,Remove pipe symbols from khmer translation
chinese,10,Time Essentials,10,khmer,ល្ងាច || ម៉ោង,ល្ងាច ម៉ោង,Remove pipe symbols from khmer translation
chinese,10,Time Essentials,39,khmer,កាលពីអតីតកាល|| និយាយនាពេលអនាគត,កាលពីអតីតកាល និយាយនាពេលអនាគត,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,8,khmer,| ខ្ពស់,ខ្ពស់,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,10,khmer,| អាក្រក់,អាក្រក់,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,15,khmer,| ឆ្ងាយ,ឆ្ងាយ,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,17,khmer,| ដំបូង,ដំបូង,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,19,khmer,មនុស្សពេញវ័យ || ធំឡើង,មនុស្សពេញវ័យ ធំឡើង,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,20,khmer,| រឿងតិចតួច,រឿងតិចតួច,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,25,khmer,ការថយចុះ || យូរ,ការថយចុះ យូរ,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,26,khmer,នាយកសាលា || ចំណុចខ្វះខាត,នាយកសាលា ចំណុចខ្វះខាត,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,28,khmer,| ខ្ពស់,ខ្ពស់,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,31,khmer,| ខ្លី,ខ្លី,Remove pipe symbols from khmer translation
chinese,11,Basic Adjectives I,32,khmer,| បុរសអាក្រក់,បុរសអាក្រក់,Remove pipe symbols from khmer translation
chinese,13,Core Radicals & Components,2,khmer,ប្រជាជន || បេះដូង,ប្រជាជន បេះដូង,Remove pipe symbols from khmer translation
chinese,13,Core Radicals & Components,5,khmer,ផែនដី || ដើមឈើ,ផែនដី ដើមឈើ,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,10,khmer,| ការប្រុងប្រយ័ត្ន,ការប្រុងប្រយ័ត្ន,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,11,khmer,| មន្ទីរពេទ្យ || ឱសថស្ថាន || បង្គន់,មន្ទីរពេទ្យ ឱសថស្ថាន បង្គន់,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,13,khmer,| ច្រកចូល,ច្រកចូល,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,27,khmer,ហៅទូរស័ព្ទប៉ូលីស || អ្នកពន្លត់អគ្គីភ័យ,ហៅទូរស័ព្ទប៉ូលីស អ្នកពន្លត់អគ្គីភ័យ,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,35,khmer,| ទៅមន្ទីរពេទ្យ,ទៅមន្ទីរពេទ្យ,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,40,khmer,| ស្វែងរកបង្គន់,ស្វែងរកបង្គន់,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,41,khmer,| ដែលជាកន្លែងដែលត្រូវបានច្រកចេញ,ដែលជាកន្លែងដែលត្រូវបានច្រកចេញ,Remove pipe symbols from khmer translation
chinese,14,Emergency & Survival,42,khmer,| ស្វែងរកការចាកចេញ,ស្វែងរកការចាកចេញ,Remove pipe symbols from khmer translation
chinese,17,Months & Seasons,3,khmer,ខែមករា || ខែកុម្ភៈ || || មីនា || ខែមេសា,ខែមករា ខែកុម្ភៈ មីនា ខែមេសា,Remove pipe symbols from khmer translation
chinese,17,Months & Seasons,5,khmer,ខែមិថុនា || ខែកក្កដា || ខែសីហា || ខែកញ្ញា,ខែមិថុនា ខែកក្កដា ខែសីហា ខែកញ្ញា,Remove pipe symbols from khmer translation
chinese,17,Months & Seasons,11,khmer,រដូវស្លឹកឈើជ្រុះ || រដូវរងា,រដូវស្លឹកឈើជ្រុះ រដូវរងា,Remove pipe symbols from khmer translation
chinese,17,Months & Seasons,19,khmer,| ខែមីនាចាប់ផ្តើមសាលារៀន,ខែមីនាចាប់ផ្តើមសាលារៀន,Remove pipe symbols from khmer translation
chinese,17,Months & Seasons,21,khmer,| ខែមេសា Qingming,ខែមេសា Qingming,Remove pipe symbols from khmer translation
chinese,19,Telling Time,5,khmer,ត្រីមាស || ពាក់កណ្តាល || ម៉ោង,ត្រីមាស ពាក់កណ្តាល ម៉ោង,Remove pipe symbols from khmer translation
