PACK 140: Everyday Finance
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | account              | 帐户              | zhàng hù           | cuenta             | conta             
  3 | card                 | 卡               | kǎ                 | tarjeta            | cartão            
  4 | save                 | 保存              | bǎo cún            | guardar            | salvar            
  5 | spend                | 花费              | huā fèi            | gastar             | gastar            
  6 | budget               | 预算              | yù suàn            | presupuesto        | orçamento         
  7 | loan                 | 贷款              | dài kuǎn           | préstamo           | empréstimo        
  8 | payment              | 付款              | fù kuǎn            | pago               | pagamento         
  9 | expenses             | 费用              | fèi yòng           | gastos             | despesas          
 10 | goal                 | 目标              | mù biāo            | objetivo           | objetivo          
 11 | annuity              | 年金              | nián jīn           | anualidad          | anuidade          
 12 | escrow               | 托管              | tuō guǎn           | depósito en garant | garantia          
 13 | premium              | 高级              | gāo jí             | prima              | prêmio            
 14 | deductible           | 免赔额             | miǎn péi é         | deducible          | franquia          
 15 | subsidy              | 补贴              | bǔ tiē             | subvención         | subsídio          
 16 | holdings             | 控股              | kòng gǔ            | participaciones    | participações     
 17 | credit score         | 信用评分            | xìn yòng píng fēn  | puntuación de créd | pontuação de crédi
 18 | statement            | 声明              | shēng míng         | declaración        | declaração        
 19 | overdraft            | 透支              | tòu zhī            | sobregiro          | cheque especial   
 20 | accrual              | 应计              | yīng jì            | acumulación        | acumulação        
 21 | amortization         | 摊销              | tān xiāo           | amortización       | amortização       
 22 | bank account         | 银行账户            | yín háng zhàng hù  | cuenta bancaria    | conta bancária    
 23 | email account        | 电子邮件帐户          | diàn zi yóu jiàn z | cuenta de correo e | conta de e-mail   
 24 | gift card            | 礼品卡             | lǐ pǐn kǎ          | tarjeta de regalo  | vale-presente     
 25 | card payment         | 刷卡支付            | shuā kǎ zhī fù     | pago con tarjeta   | pagamento com cart
 26 | save files           | 保存文件            | bǎo cún wén jiàn   | guardar archivos   | salvar arquivos   
 27 | save for             | 保存为             | bǎo cún wèi        | guardar para       | salve para        
 28 | spend money          | 花钱              | huā qián           | gastar dinero      | gastar dinheiro   
 29 | spend on             | 花费在             | huā fèi zài        | gastar en          | gastar em         
 30 | monthly budget       | 每月预算            | měi yuè yù suàn    | presupuesto mensua | orçamento mensal  
 31 | budget for           | 预算用于            | yù suàn yòng yú    | presupuesto para   | orçamento para    
 32 | bank loan            | 银行贷款            | yín háng dài kuǎn  | préstamo bancario  | empréstimo bancári
 33 | loan application     | 贷款申请            | dài kuǎn shēn qǐng | solicitud de prést | pedido de emprésti
 34 | make payment         | 付款              | fù kuǎn            | realizar el pago   | efetuar o pagament
 35 | payment due          | 到期付款            | dào qī fù kuǎn     | pago vencido       | pagamento devido  
 36 | monthly expenses     | 每月开支            | měi yuè kāi zhī    | gastos mensuales   | despesas mensais  
 37 | expenses include     | 费用包括            | fèi yòng bāo kuò   | los gastos incluye | despesas incluem  
 38 | financial goal       | 财务目标            | cái wù mù biāo     | objetivo financier | meta financeira   
 39 | goal setting         | 目标设定            | mù biāo shè dìng   | establecimiento de | definição de metas
 40 | fixed annuity        | 固定年金            | gù dìng nián jīn   | anualidad fija     | anuidade fixa     
 41 | annuity payment      | 年金支付            | nián jīn zhī fù    | pago de anualidad  | pagamento de anuid
 42 | escrow account       | 托管账户            | tuō guǎn zhàng hù  | cuenta de depósito | conta de garantia 
 43 | in escrow            | 托管              | tuō guǎn           | en depósito de gar | em depósito       
 44 | insurance premium    | 保险费             | bǎo xiǎn fèi       | prima de seguro    | prêmio de seguro  
 45 | premium payment      | 保费支付            | bǎo fèi zhī fù     | pago de prima      | pagamento de prêmi
 46 | insurance deductible | 保险免赔额           | bǎo xiǎn miǎn péi  | deducible del segu | franquia do seguro
 47 | deductible amount    | 可扣除金额           | kě kòu chú jīn é   | importe deducible  | montante dedutível
 48 | government subsidy   | 政府补贴            | zhèng fǔ bǔ tiē    | subvención guberna | subsídio govername
 49 | subsidy for          | 补贴              | bǔ tiē             | subvención para    | subsídio para     
 50 | stock holdings       | 持有股票            | chí yǒu gǔ piào    | tenencias de accio | participações acio
 51 | holdings include     | 持股包括            | chí gǔ bāo kuò     | las tenencias incl | as participações i
 52 | check credit score   | 检查信用评分          | jiǎn chá xìn yòng  | verificar puntaje  | verificar pontuaçã
 53 | credit score report  | 信用评分报告          | xìn yòng píng fēn  | informe de puntuac | relatório de pontu
 54 | bank statement       | 银行对账单           | yín háng duì zhàng | extracto bancario  | extrato bancário  
 55 | statement balance    | 报表余额            | bào biǎo yú é      | saldo del extracto | saldo do extrato  
 56 | account overdraft    | 账户透支            | zhàng hù tòu zhī   | sobregiro de cuent | descoberto em cont
 57 | overdraft fee        | 透支费             | tòu zhī fèi        | cargo por sobregir | taxa de cheque esp
 58 | interest accrual     | 应计利息            | yīng jì lì xī      | devengo de interes | acumulação de juro
 59 | accrual basis        | 权责发生制           | quán zé fā shēng z | base devengada     | regime de competên
 60 | loan amortization    | 贷款摊销            | dài kuǎn tān xiāo  | amortización de pr | amortização de emp
 61 | amortization schedul | 摊销时间表           | tān xiāo shí jiān  | calendario de amor | cronograma de amor
