PACK 90: Social Interactions
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | conversation         | 对话              | duì huà            | conversación       | conversa          
  3 | chat                 | 聊天              | liáo tiān          | chatear            | conversar         
  4 | gossip               | 八卦              | bā guà             | chismes            | fofoca            
  5 | secret               | 秘密              | mì mì              | secreto            | segredo           
  6 | betray               | 背叛              | bèi pàn            | traicionar         | trair             
  7 | encourage            | 鼓励              | gǔ lì              | animar             | incentivar        
  8 | criticize            | 批评              | pī píng            | criticar           | criticar          
  9 | compliment           | 恭维              | gōng wéi           | cumplido           | elogio            
 10 | insult               | 侮辱              | wǔ rǔ              | insulto            | insulto           
 11 | reconcile            | 调和              | tiáo hé            | reconciliar        | reconciliar       
 12 | cooperate            | 合作              | hé zuò             | cooperar           | cooperar          
 13 | ignore               | 忽略              | hū lüè             | ignorar            | ignorar           
 14 | interrupt            | 中断              | zhōng duàn         | interrumpir        | interromper       
 15 | offend               | 冒犯              | mào fàn            | ofender            | ofender           
 16 | defend               | 捍卫              | hàn wèi            | defender           | defender          
 17 | empathize            | 同情              | tóng qíng          | empatizar          | ter empatia       
 18 | mingle               | 混在一起            | hùn zài yì qǐ      | mezclarse          | misturar          
 19 | socialize            | 社交              | shè jiāo           | socializar         | socializar        
 20 | greet                | 问候              | wèn hòu            | saludar            | cumprimentar      
 21 | acknowledge          | 承认              | chéng rèn          | reconocer          | reconhecer        
 22 | private conversation | 私人谈话            | sī rén tán huà     | conversación priva | conversa privada  
 23 | conversation starter | 对话开始            | duì huà kāi shǐ    | iniciador de conve | iniciador de conve
 24 | quick chat           | 快速聊天            | kuài sù liáo tiān  | charla rápida      | bate-papo rápido  
 25 | chat with            | 与               | yǔ                 | chatear con        | conversar com     
 26 | spread gossip        | 聊天传播八卦          | liáo tiān chuán bō | difundir chismes   | espalhar fofoca   
 27 | office gossip        | 办公室八卦           | bàn gōng shì bā gu | chismes de oficina | fofoca de escritór
 28 | keep a secret        | 保守秘密            | bǎo shǒu mì mì     | guardar un secreto | guarde segredo    
 29 | secret keeper        | 秘密守护者           | mì mì shǒu hù zhě  | guardián secreto   | guardião do segred
 30 | betray trust         | 背叛信任            | bèi pàn xìn rèn    | traicionar la conf | trair a confiança 
 31 | feel betray          | 感觉被背叛           | gǎn jué bèi bèi pà | sentir traición    | me sinto traído   
 32 | encourage others     | 鼓励别人            | gǔ lì bié rén      | animar a otros     | encorajar os outro
 33 | encourage you        | 鼓励你             | gǔ lì nǐ           | animarte           | encorajo você     
 34 | don't criticize      | 不要批评            | bú yào pī píng     | no critiques       | não critique      
 35 | criticize harshly    | 严厉批评            | yán lì pī píng     | criticar duramente | criticar duramente
 36 | give compliment      | 给个好评            | gěi gè hǎo píng    | hacer un cumplido  | elogiar           
 37 | nice compliment      | 很好的赞美           | hěn hǎo de zàn měi | buen cumplido      | belo elogio       
 38 | don't insult         | 别侮辱             | bié wǔ rǔ          | no insultes        | não insulte       
 39 | feel insult          | 感到侮辱            | gǎn dào wǔ rǔ      | sentir insulto     | me sinto insultado
 40 | try to reconcile     | 尝试调和            | cháng shì tiáo hé  | intenta reconcilia | tente conciliar   
 41 | reconcile difference | 调和差异            | tiáo hé chā yì     | reconciliar difere | reconciliar difere
 42 | cooperate with       | 与               | yǔ                 | cooperar con       | cooperar com      
 43 | cooperate together   | 合作一起合作          | hé zuò yì qǐ hé zu | cooperar juntos    | cooperar juntos   
 44 | don't ignore         | 不要忽视            | bú yào hū shì      | no ignores         | não ignore        
 45 | ignore me            | 无视我             | wú shì wǒ          | ignorame           | me ignore         
 46 | don't interrupt      | 不要打扰            | bú yào dǎ rǎo      | no interrumpas     | não interrompa    
 47 | interrupt someone    | 打断某人            | dǎ duàn mǒu rén    | interrumpir a algu | interromper alguém
 48 | don't offend         | 请勿冒犯            | qǐng wù mào fàn    | no ofendas         | não ofenda        
 49 | offend easily        | 容易得罪            | róng yì dé zuì     | ofender fácilmente | ofender facilmente
 50 | defend yourself      | 保护自己            | bǎo hù zì jǐ       | defenderte         | defenda-se        
 51 | defend against       | 防御              | fáng yù            | defenderse contra  | defender contra   
 52 | empathize with       | 同情              | tóng qíng          | empatizar con      | simpatizar com    
 53 | empathize deeply     | 深深地感同身受         | shēn shēn dì gǎn t | empatizar profunda | simpatizar profund
 54 | mingle with          | 与               | yǔ                 | mezclarse con      | misturar-se com   
 55 | mingle around        | 混在一起混在一起        | hùn zài yì qǐ hùn  | mezclarse          | se misturar       
 56 | socialize more       | 社交更多            | shè jiāo gèng duō  | socializar más     | socializar mais   
 57 | socialize with       | 与               | yǔ                 | socializar con     | socializar com    
 58 | greet warmly         | 社交热烈欢迎          | shè jiāo rè liè hu | saludar cordialmen | cumprimente caloro
 59 | greet guests         | 迎接客人            | yíng jiē kè rén    | saludar a los invi | cumprimentar os co
 60 | acknowledge receipt  | 确认收据            | què rèn shōu jù    | acusar recibo      | acusar recebimento
 61 | acknowledge mistake  | 承认错误            | chéng rèn cuò wù   | reconocer el error | reconhecer o erro 
