Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
spanish,221,Past Subjunctive Forms,5,english,was,were,Subjunctive form like row 4
spanish,238,Pulling (tirar),5,portuguese,nós jogamos,puxamos,Theme is pulling not throwing
spanish,238,Pulling (tirar),6,portuguese,você joga,você puxa,Theme is pulling not throwing
spanish,238,Pulling (tirar),7,portuguese,eles jogam,eles puxam,Theme is pulling not throwing
spanish,238,Pulling (tirar),8,portuguese,lançar,puxar,Theme is pulling not throwing/launching
spanish,246,Reflexive Pronouns,15,english,look at each other,look at yourself,Reflexive not reciprocal
spanish,246,Reflexive Pronouns,45,english,when looking at each other,when looking at yourself,Reflexive not reciprocal
spanish,250,Common Idioms,4,portuguese,senhorita,sentir falta,Miss (verb) not Miss (title)
spanish,250,Common Idioms,14,portuguese,falar,falar muito,Complete the idiom - talk A LOT
spanish,250,Common Idioms,15,english,be like a goat,be crazy,Idiom means crazy not literal goat
spanish,250,Common Idioms,15,portuguese,seja como uma cabra,seja louco,Be crazy not literal goat
