chinese,pinyin,english,spanish,french,portuguese
把,bǎ,take,tomar,prendre,pegar
被,bèi,by,por,par,por
让,ràng,let,dejar,laisser,deixar
叫,jiào,call,llamar,appeler,chamar
使,shǐ,make,hacer,faire,fazer
比,bǐ,than,que,que,que
向,xiàng,toward,hacia,vers,em direção a
往,wǎng,toward,hacia,vers,em direção a
从,cóng,from,desde,de,de
为,wèi,for,para,pour,para
关于,guān yú,about,sobre,à propos de,sobre
按照,àn zhào,according to,según,selon,de acordo com
令,lìng,make,hacer,rendre,fazer
朝,cháo,toward,hacia,vers,em direção a
把它,bǎ tā,take it,tómalo,prends-le,pegue-o
把这个,bǎ zhè ge,take this,toma esto,prends ça,pegue isso
被人,bèi rén,by people,por personas,par des gens,por pessoas
被发现,bèi fā xiàn,be discovered,ser descubierto,être découvert,ser descoberto
让他,ràng tā,let him,déjalo,laisse-le,deixe-o
让我,ràng wǒ,let me,déjame,laisse-moi,deixe-me
叫他,jiào tā,call him,llámalo,appelle-le,chame-o
叫做,jiào zuò,called,llamado,appelé,chamado
使人,shǐ rén,make people,hacer que la gente,faire que les gens,fazer as pessoas
使用,shǐ yòng,use,usar,utiliser,usar
比他,bǐ tā,than him,que él,que lui,que ele
比你,bǐ nǐ,than you,que tú,que toi,que você
向你,xiàng nǐ,toward you,hacia ti,vers toi,em direção a você
向前,xiàng qián,forward,adelante,en avant,para frente
往前,wǎng qián,forward,adelante,en avant,para frente
朝后,cháo hòu,backward,hacia atrás,en arrière,para trás
从这,cóng zhè,from here,desde aquí,d'ici,daqui
从那,cóng nà,from there,desde allí,de là,de lá
为你,wèi nǐ,for you,para ti,pour toi,para você
为了,wèi le,for the sake of,por,pour,para
关于这,guān yú zhè,about this,sobre esto,à propos de ça,sobre isso
关于他,guān yú tā,about him,sobre él,à propos de lui,sobre ele
按照规定,àn zhào guī dìng,according to regulations,según las reglas,selon les règles,de acordo com as regras
按照计划,àn zhào jì huà,according to plan,según el plan,selon le plan,de acordo com o plano
令人,lìng rén,make people,hacer que la gente,rendre les gens,fazer as pessoas
令他,lìng tā,make him,hacerlo,le faire,fazê-lo
朝前,cháo qián,toward front,hacia adelante,vers l'avant,para frente
朝着,cháo zhe,facing,hacia,vers,em direção a
