PACK 115: Marketing & Sales
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | advertise            | 做广告             | zuò guǎng gào      | anunciar           | anunciar          
  3 | campaign             | 活动              | huó dòng           | campaña            | campanha          
  4 | brand                | 品牌              | pǐn pái            | marca              | marca             
  5 | logo                 | 标志              | biāo zhì           | logotipo           | logotipo          
  6 | audience             | 观众              | guān zhòng         | audiencia          | audiência         
  7 | strategy             | 策略              | cè lüè             | estrategia         | estratégia        
  8 | promote              | 推广              | tuī guǎng          | promover           | promover          
  9 | launch               | 发射              | fā shè             | lanzamiento        | lançamento        
 10 | product              | 产品              | chǎn pǐn           | producto           | produto           
 11 | service              | 服务              | fú wù              | servicio           | serviço           
 12 | client               | 客户              | kè hù              | cliente            | cliente           
 13 | competitor           | 竞争对手            | jìng zhēng duì shǒ | competidor         | concorrente       
 14 | survey               | 调查              | diào chá           | encuesta           | pesquisa          
 15 | target               | 目标              | mù biāo            | objetivo           | alvo              
 16 | sponsor              | 赞助商             | zàn zhù shāng      | patrocinador       | patrocinador      
 17 | sales                | 销售              | xiāo shòu          | ventas             | vendas            
 18 | branding             | 品牌              | pǐn pái            | marca              | marca             
 19 | outreach             | 外展              | wài zhǎn           | extensión          | divulgação        
 20 | conversion           | 转换              | zhuǎn huàn         | conversión         | conversão         
 21 | segment              | 段               | duàn               | segmento           | segmento          
 22 | advertise online     | 网上做广告           | wǎng shàng zuò guǎ | anunciar en línea  | anunciar on-line  
 23 | advertise products   | 为产品做广告          | wèi chǎn pǐn zuò g | anunciar productos | anunciar produtos 
 24 | marketing campaign   | 营销活动            | yíng xiāo huó dòng | campaña de marketi | campanha de market
 25 | campaign launch      | 活动启动            | huó dòng qǐ dòng   | lanzamiento de cam | lançamento da camp
 26 | brand awareness      | 品牌知名度           | pǐn pái zhī míng d | conocimiento de la | reconhecimento da 
 27 | brand loyalty        | 品牌忠诚度           | pǐn pái zhōng chén | lealtad a la marca | fidelidade à marca
 28 | company logo         | 公司标志            | gōng sī biāo zhì   | logotipo de la emp | logotipo da empres
 29 | logo design          | 标志设计            | biāo zhì shè jì    | diseño de logotipo | design de logotipo
 30 | target audience      | 目标受众            | mù biāo shòu zhòng | público objetivo   | público-alvo      
 31 | audience engagement  | 观众参与度           | guān zhòng cān yù  | participación de l | envolvimento do pú
 32 | marketing strategy   | 营销策略            | yíng xiāo cè lüè   | estrategia de mark | estratégia de mark
 33 | strategy meeting     | 战略会议            | zhàn lüè huì yì    | reunión estratégic | reunião estratégic
 34 | promote sales        | 促进销售            | cù jìn xiāo shòu   | promover las venta | promover vendas   
 35 | promote products     | 推广产品            | tuī guǎng chǎn pǐn | promocionar produc | promover produtos 
 36 | product launch       | 产品发布            | chǎn pǐn fā bù     | lanzamiento de pro | lançamento de prod
 37 | launch event         | 启动活动            | qǐ dòng huó dòng   | evento de lanzamie | evento de lançamen
 38 | new product          | 新产品             | xīn chǎn pǐn       | nuevo producto     | novo produto      
 39 | product quality      | 产品质量            | chǎn pǐn zhì liàng | calidad del produc | qualidade do produ
 40 | customer service     | 客户服务            | kè hù fú wù        | servicio al client | atendimento ao cli
 41 | service industry     | 服务业             | fú wù yè           | industria de servi | indústria de servi
 42 | client meeting       | 客户会议            | kè hù huì yì       | reunión con client | reunião com client
 43 | client relationship  | 客户关系            | kè hù guān xì      | relación con el cl | relacionamento com
 44 | main competitor      | 主要竞争对手          | zhǔ yào jìng zhēng | principal competid | principal concorre
 45 | competitor analysis  | 竞争对手分析          | jìng zhēng duì shǒ | análisis de la com | análise da concorr
 46 | customer survey      | 客户调查            | kè hù diào chá     | encuesta a cliente | pesquisa com clien
 47 | survey results       | 调查结果            | diào chá jié guǒ   | resultados de la e | resultados da pesq
 48 | target market        | 目标市场            | mù biāo shì chǎng  | mercado objetivo   | mercado-alvo      
 49 | target demographic   | 目标人群            | mù biāo rén qún    | grupo demográfico  | público-alvo      
 50 | event sponsor        | 活动赞助商           | huó dòng zàn zhù s | patrocinador del e | patrocinador do ev
 51 | sponsor deal         | 赞助商协议           | zàn zhù shāng xié  | acuerdo de patroci | acordo de patrocín
 52 | sales team           | 销售团队            | xiāo shòu tuán duì | equipo de ventas   | equipe de vendas  
 53 | sales growth         | 销售增长            | xiāo shòu zēng zhǎ | crecimiento de las | crescimento das ve
 54 | personal branding    | 个人品牌            | gè rén pǐn pái     | marca personal     | marca pessoal     
 55 | branding strategy    | 品牌战略            | pǐn pái zhàn lüè   | estrategia de marc | estratégia de marc
 56 | community outreach   | 社区外展            | shè qū wài zhǎn    | alcance comunitari | divulgação comunit
 57 | outreach program     | 外展计划            | wài zhǎn jì huà    | programa de extens | programa de divulg
 58 | conversion rate      | 转化率             | zhuǎn huà lǜ       | tasa de conversión | taxa de conversão 
 59 | lead conversion      | 潜在客户转换          | qián zài kè hù zhu | conversión de clie | conversão de leads
 60 | market segment       | 细分市场            | xì fēn shì chǎng   | segmento de mercad | segmento de mercad
 61 | segment analysis     | 细分分析            | xì fēn fēn xī      | análisis de segmen | análise de segment
