PACK 33: Drinks & Meals
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | coffee               | 咖啡              | kā fēi             | café               | café              
  3 | tea                  | 茶               | chá                | té                 | chá               
  4 | juice                | 果汁              | guǒ zhī            | jugo               | suco              
  5 | breakfast            | 早餐              | zǎo cān            | desayuno           | café da manhã     
  6 | lunch                | 午餐              | wǔ cān             | almuerzo           | almoço            
  7 | dinner               | 晚餐              | wǎn cān            | cena               | jantar            
  8 | order                | 订单              | dìng dān           | orden              | encomendar        
  9 | delicious            | 美味              | měi wèi            | delicioso          | delicioso         
 10 | taste                | 味道              | wèi dào            | sabor              | gosto             
 11 | cook                 | 做饭              | zuò fàn            | cocinar            | cozinhar          
 12 | bottle               | 瓶子              | píng zi            | botella            | garrafa           
 13 | hungry               | 饿了              | è le               | hambre             | com fome          
 14 | thirsty              | 口渴              | kǒu kě             | sediento           | com sede          
 15 | dessert              | 甜点              | tián diǎn          | postre             | sobremesa         
 16 | sip                  | 啜饮              | chuài yǐn          | sorbo              | gole              
 17 | blend                | 混合              | hùn hé             | mezcla             | mistura           
 18 | appetite             | 食欲              | shí yù             | apetito            | apetite           
 19 | refresh              | 提神              | tí shén            | refrescar          | refrescar         
 20 | beverage             | 饮料              | yǐn liào           | bebida             | bebida            
 21 | savor                | 品味              | pǐn wèi            | saborear           | saborear          
 22 | hot coffee           | 热咖啡             | rè kā fēi          | café caliente      | café quente       
 23 | coffee break         | 喝咖啡休息时间         | hē kā fēi xiū xī s | pausa para el café | pausa para o café 
 24 | iced tea             | 冰茶              | bīng chá           | té helado          | chá gelado        
 25 | tea time             | 下午茶时间           | xià wǔ chá shí jiā | la hora del té     | hora do chá       
 26 | apple juice          | 苹果汁             | píng guǒ zhī       | jugo de manzana    | suco de maçã      
 27 | fresh juice          | 新鲜果汁            | xīn xiān guǒ zhī   | jugo fresco        | suco fresco       
 28 | skip breakfast       | 不吃早餐            | bù chī zǎo cān     | saltarse el desayu | pular o café da ma
 29 | breakfast time       | 早餐时间            | zǎo cān shí jiān   | hora del desayuno  | hora do café da ma
 30 | quick lunch          | 快速午餐            | kuài sù wǔ cān     | almuerzo rápido    | almoço rápido     
 31 | lunch break          | 午休              | wǔ xiū             | pausa para el almu | pausa para almoço 
 32 | late dinner          | 晚晚餐             | wǎn wǎn cān        | cena tardía        | jantar tardio     
 33 | dinner party         | 晚宴              | wǎn yàn            | cena               | jantar            
 34 | place an order       | 下订单             | xià dìng dān       | hacer un pedido    | faça um pedido    
 35 | order food           | 点餐              | diǎn cān           | pedir comida       | pedir comida      
 36 | very delicious       | 非常好吃            | fēi cháng hǎo chī  | muy delicioso      | muito gostoso     
 37 | delicious food       | 美味的食物           | měi wèi de shí wù  | comida deliciosa   | comida deliciosa  
 38 | good taste           | 味道好             | wèi dào hǎo        | buen gusto         | bom gosto         
 39 | taste it             | 尝尝吧             | cháng cháng ba     | pruébalo           | prove             
 40 | learn to cook        | 学习做饭            | xué xí zuò fàn     | aprender a cocinar | aprenda a cozinhar
 41 | cook dinner          | 做饭              | zuò fàn            | preparar la cena   | preparar o jantar 
 42 | beer bottle          | 啤酒瓶             | pí jiǔ píng        | botella de cerveza | garrafa de cerveja
 43 | bottle cap           | 瓶盖              | píng gài           | tapa de botella    | tampa de garrafa  
 44 | very hungry          | 很饿              | hěn è              | mucha hambre       | muita fome        
 45 | hungry for           | 渴望              | kě wàng            | hambre de          | com fome de       
 46 | so thirsty           | 好渴              | hǎo kě             | tanta sed          | com tanta sede    
 47 | thirsty for          | 渴求              | kě qiú             | sediento de        | sedento por       
 48 | sweet dessert        | 甜点              | tián diǎn          | postre dulce       | sobremesa doce    
 49 | dessert menu         | 甜点菜单            | tián diǎn cài dān  | menú de postres    | cardápio de sobrem
 50 | sip slowly           | 慢慢地啜饮           | màn màn dì chuài y | sorber lentamente  | beba devagar      
 51 | small sip            | 小啜              | xiǎo chuài         | pequeño sorbo      | pequeno gole      
 52 | blend together       | 混合在一起           | hùn hé zài yì qǐ   | mezclarse          | misturar          
 53 | perfect blend        | 完美融合            | wán měi róng hé    | mezcla perfecta    | mistura perfeita  
 54 | good appetite        | 胃口好             | wèi kǒu hǎo        | buen apetito       | bom apetite       
 55 | no appetite          | 没有胃口            | méi yǒu wèi kǒu    | sin apetito        | sem apetite       
 56 | feel refresh         | 感觉神清气爽          | gǎn jué shén qīng  | siéntete renovado  | sinta-se revigorad
 57 | refresh yourself     | 刷新一下自己          | shuā xīn yī xià zì | refréscate         | refresque-se      
 58 | cold beverage        | 冷饮              | lěng yǐn           | bebida fría        | bebida gelada     
 59 | beverage menu        | 饮料菜单            | yǐn liào cài dān   | menú de bebidas    | cardápio de bebida
 60 | savor the moment     | 品味这一刻           | pǐn wèi zhè yī kè  | saborear el moment | saboreie o momento
 61 | savor every bite     | 品尝每一口           | pǐn cháng měi yī k | saborea cada bocad | saboreie cada mord
