PACK 105: Describing Trends
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | climb                | 爬               | pá                 | subir              | subir             
  3 | drop                 | 下降              | xià jiàng          | soltar             | cair              
  4 | surge                | 激增              | jī zēng            | oleada             | aumento           
  5 | plunge               | 暴跌              | bào diē            | zambullirse        | mergulhar         
  6 | soar                 | 翱翔              | áo xiáng           | volar              | voar alto         
  7 | dip                  | 浸               | jìn                | inmersión          | mergulho          
  8 | spike                | 穗               | suì                | pico               | pico              
  9 | level                | 水平              | shuǐ píng          | nivel              | nível             
 10 | plateau              | 高原              | gāo yuán           | meseta             | planalto          
 11 | fluctuate            | 波动              | bō dòng            | fluctuar           | flutuar           
 12 | skyrocket            | 飙升              | biāo shēng         | dispararse         | disparou          
 13 | plummet              | 直线下降            | zhí xiàn xià jiàng | caer en picado     | despenca          
 14 | stabilize            | 稳定              | wěn dìng           | estabilizar        | estabilizar       
 15 | peak                 | 峰值              | fēng zhí           | pico               | pico              
 16 | double               | 双               | shuāng             | doble              | duplo             
 17 | multiply             | 乘               | chéng              | multiplicar        | multiplicar       
 18 | trend                | 趋势              | qū shì             | tendencia          | tendência         
 19 | rise                 | 上升              | shàng shēng        | subir              | subir             
 20 | decline              | 拒绝              | jù jué             | declive            | declínio          
 21 | stagnate             | 停滞              | tíng zhì           | estancarse         | estagnar          
 22 | prices climb         | 价格攀升            | jià gé pān shēng   | los precios suben  | preços sobem      
 23 | climb steadily       | 稳步攀升            | wěn bù pān shēng   | subir constantemen | subir de forma con
 24 | prices drop          | 价格下跌            | jià gé xià diē     | los precios bajan  | preços caem       
 25 | drop sharply         | 急剧下降            | jí jù xià jiàng    | caer bruscamente   | cai drasticamente 
 26 | sudden surge         | 突然激增            | tū rán jī zēng     | aumento repentino  | aumento repentino 
 27 | surge in demand      | 需求激增            | xū qiú jī zēng     | aumento de la dema | aumento da procura
 28 | prices plunge        | 价格暴跌            | jià gé bào diē     | los precios caen   | preços despencam  
 29 | plunge down          | 跳下去             | tiào xià qù        | caer               | mergulhar         
 30 | prices soar          | 价格飙升            | jià gé biāo shēng  | los precios se dis | preços disparam   
 31 | soar high            | 展翅高飞            | zhǎn chì gāo fēi   | volar alto         | voar alto         
 32 | slight dip           | 轻微下降            | qīng wēi xià jiàng | ligera caída       | ligeira queda     
 33 | dip in sales         | 销售额下降           | xiāo shòu é xià ji | caída de las venta | queda nas vendas  
 34 | sudden spike         | 突然飙升            | tū rán biāo shēng  | pico repentino     | pico repentino    
 35 | spike in traffic     | 流量激增            | liú liàng jī zēng  | aumento del tráfic | aumento no tráfego
 36 | level off            | 趋于平稳            | qū yú píng wěn     | nivelar            | nivelar           
 37 | level out            | 拉平              | lā píng            | nivelar            | nivelar           
 38 | reach plateau        | 达到高原            | dá dào gāo yuán    | alcanzar la meseta | atingir o platô   
 39 | plateau phase        | 平台期             | píng tái qī        | fase de meseta     | fase de platô     
 40 | prices fluctuate     | 价格波动            | jià gé bō dòng     | los precios fluctú | os preços flutuam 
 41 | fluctuate wildly     | 剧烈波动            | jù liè bō dòng     | fluctúan salvajeme | flutua descontrola
 42 | prices skyrocket     | 价格飞涨            | jià gé fēi zhǎng   | los precios se dis | os preços disparar
 43 | skyrocket overnight  | 一夜暴涨            | yī yè bào zhǎng    | se dispara durante | disparou durante a
 44 | prices plummet       | 价格暴跌            | jià gé bào diē     | los precios se des | os preços despenca
 45 | plummet down         | 直线下降            | zhí xiàn xià jiàng | caer en picado     | despencou         
 46 | stabilize prices     | 稳定价格            | wěn dìng jià gé    | estabilizar los pr | estabilizar os pre
 47 | stabilize quickly    | 迅速稳定            | xùn sù wěn dìng    | estabilizarse rápi | estabilizar rapida
 48 | reach peak           | 达到顶峰            | dá dào dǐng fēng   | alcanzar el pico   | atingir o pico    
 49 | peak performance     | 巅峰表现            | diān fēng biǎo xià | máximo rendimiento | desempenho máximo 
 50 | double in size       | 双倍大小            | shuāng bèi dà xiǎo | el doble de tamaño | dobrar de tamanho 
 51 | double the amount    | 双倍金额            | shuāng bèi jīn é   | duplicar la cantid | dobrar o valor    
 52 | multiply rapidly     | 迅速繁殖            | xùn sù fán zhí     | multiplicarse rápi | multiplique rapida
 53 | multiply by          | 乘以              | chéng yǐ           | multiplicar por    | multiplique por   
 54 | current trend        | 当前趋势            | dāng qián qū shì   | tendencia actual   | tendência atual   
 55 | trend analysis       | 趋势分析            | qū shì fēn xī      | análisis de tenden | análise de tendênc
 56 | on the rise          | 正在上升            | zhèng zài shàng sh | en aumento         | em ascensão       
 57 | rise sharply         | 大幅上涨            | dà fú shàng zhǎng  | aumentar bruscamen | subir acentuadamen
 58 | steady decline       | 稳步下降            | wěn bù xià jiàng   | descenso constante | declínio constante
 59 | decline in           | 下降于             | xià jiàng yú       | descenso en        | declínio em       
 60 | growth stagnate      | 下降增长停滞          | xià jiàng zēng zhǎ | el crecimiento se  | estagnação do cres
 61 | stagnate over time   | 随着时间的推移停滞不前     | suí zhe shí jiān d | estancarse en el t | estagnar com o tem
