PACK 126: Certainty & Probability
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | uncertain            | 不确定             | bù què dìng        | incierto           | incerto           
  3 | sure                 | 当然              | dāng rán           | seguro             | claro             
  4 | definite             | 明确              | míng què           | definido           | definido          
  5 | probable             | 可能              | kě néng            | probable           | provável          
  6 | possible             | 可能              | kě néng            | posible            | possível          
  7 | conjectural          | 推测              | tuī cè             | conjetural         | conjectural       
  8 | likely               | 可能              | kě néng            | probable           | provável          
  9 | feasible             | 可行              | kě xíng            | factible           | viável            
 10 | obvious              | 明显              | míng xiǎn          | obvio              | óbvio             
 11 | vague                | 模糊              | mó hú              | vago               | vago              
 12 | ambiguous            | 模棱两可            | mó léng liǎng kě   | ambiguo            | ambíguo           
 13 | doubtful             | 可疑              | kě yí              | dudoso             | duvidoso          
 14 | apparent             | 明显              | míng xiǎn          | aparente           | aparente          
 15 | evident              | 明显              | míng xiǎn          | evidente           | evidente          
 16 | inevitable           | 不可避免            | bù kě bì miǎn      | inevitable         | inevitável        
 17 | predictable          | 可预测             | kě yù cè           | predecible         | previsível        
 18 | presume              | 假设              | jiǎ shè            | suponer            | presumir          
 19 | plausible            | 似是而非            | sì shì ér fēi      | plausible          | plausível         
 20 | tentative            | 暂定              | zàn dìng           | tentativo          | provisório        
 21 | conclusive           | 结论性             | jié lùn xìng       | concluyente        | conclusivo        
 22 | feel uncertain       | 感到不确定           | gǎn dào bù què dìn | sentirse inseguro  | me sinto inseguro 
 23 | uncertain about      | 不确定             | bù què dìng        | inseguro sobre     | incerto sobre     
 24 | sure enough          | 果然              | guǒ rán            | efectivamente      | com certeza       
 25 | sure about           | 确定              | què dìng           | seguro de          | certeza sobre     
 26 | definite answer      | 明确的答案           | míng què de dá àn  | respuesta definiti | resposta definitiv
 27 | definite plan        | 明确的计划           | míng què de jì huà | plan definido      | plano definido    
 28 | probable cause       | 可能的原因           | kě néng de yuán yī | causa probable     | causa provável    
 29 | highly probable      | 很有可能            | hěn yǒu kě néng    | muy probable       | altamente provável
 30 | if possible          | 如果可能的话          | rú guǒ kě néng de  | si es posible      | se possível       
 31 | possible solution    | 可能的解决方案         | kě néng de jiě jué | posible solución   | solução possível  
 32 | conjectural theory   | 猜想理论            | cāi xiǎng lǐ lùn   | teoría conjetural  | teoria conjectural
 33 | purely conjectural   | 纯属推测            | chún shǔ tuī cè    | puramente conjetur | puramente conjectu
 34 | most likely          | 最有可能            | zuì yǒu kě néng    | lo más probable    | provavelmente     
 35 | likely to            | 可能              | kě néng            | probable que       | provavelmente     
 36 | technically feasible | 技术上可行           | jì shù shàng kě xí | técnicamente viabl | tecnicamente viáve
 37 | feasible option      | 可行的选择           | kě xíng de xuǎn zé | opción factible    | opção viável      
 38 | quite obvious        | 很明显             | hěn míng xiǎn      | bastante obvio     | bastante óbvio    
 39 | obvious choice       | 明显的选择           | míng xiǎn de xuǎn  | elección obvia     | escolha óbvia     
 40 | vague answer         | 模糊的答案           | mó hú de dá àn     | respuesta vaga     | resposta vaga     
 41 | somewhat vague       | 有点模糊            | yǒu diǎn mó hú     | algo vago          | um tanto vago     
 42 | ambiguous statement  | 不明确的陈述          | bù míng què de ché | declaración ambigu | declaração ambígua
 43 | deliberately ambiguo | 故意含糊            | gù yì hán hú       | deliberadamente am | deliberadamente am
 44 | highly doubtful      | 高度怀疑            | gāo dù huái yí     | muy dudoso         | altamente duvidoso
 45 | doubtful about       | 怀疑              | huái yí            | dudoso sobre       | duvidoso sobre    
 46 | apparent reason      | 明显的原因           | míng xiǎn de yuán  | razón aparente     | motivo aparente   
 47 | readily apparent     | 显而易见            | xiǎn ér yì jiàn    | fácilmente evident | facilmente aparent
 48 | self evident         | 不言而喻            | bù yán ér yù       | evidente por sí mi | evidente          
 49 | evident from         | 从               | cóng               | evidente de        | evidente em       
 50 | almost inevitable    | 可以看出几乎不可避免      | kě yǐ kàn chū jī h | casi inevitable    | quase inevitável  
 51 | inevitable conclusio | 必然的结论           | bì rán de jié lùn  | conclusión inevita | conclusão inevitáv
 52 | highly predictable   | 高度可预测           | gāo dù kě yù cè    | muy predecible     | altamente previsív
 53 | predictable outcome  | 可预测的结果          | kě yù cè de jié gu | resultado predecib | resultado previsív
 54 | presume innocent     | 假定无罪            | jiǎ dìng wú zuì    | presumir inocente  | presumir inocente 
 55 | presume that         | 假设              | jiǎ shè            | suponer que        | presumo que       
 56 | plausible explanatio | 合理的解释           | hé lǐ de jiě shì   | explicación plausi | explicação plausív
 57 | sounds plausible     | 听起来似乎有道理        | tīng qǐ lái sì hū  | suena plausible    | parece plausível  
 58 | tentative agreement  | 暂定协议            | zàn dìng xié yì    | acuerdo tentativo  | acordo provisório 
 59 | tentative plan       | 暂定计划            | zàn dìng jì huà    | plan tentativo     | plano provisório  
 60 | conclusive evidence  | 确凿证据            | què záo zhèng jù   | pruebas concluyent | evidências conclus
 61 | conclusive proof     | 确凿的证据           | què záo de zhèng j | prueba concluyente | prova conclusiva  
