PACK 142: Psychology Basics
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | cognitive            | 认知              | rèn zhī            | cognitivo          | cognitivo         
  3 | perception           | 感知              | gǎn zhī            | percepción         | percepção         
  4 | attention            | 注意              | zhù yì             | atención           | atenção           
  5 | memory               | 内存              | nèi cún            | memoria            | memória           
  6 | motivation           | 动机              | dòng jī            | motivación         | motivação         
  7 | behavior             | 行为              | xíng wéi           | comportamiento     | comportamento     
  8 | stimulus             | 刺激              | cì jī              | estímulo           | estímulo          
  9 | arousal              | 唤醒              | huàn xǐng          | excitación         | excitação         
 10 | reinforcement        | 加固              | jiā gù             | refuerzo           | reforço           
 11 | consciousness        | 意识              | yì shí             | conciencia         | consciência       
 12 | subconscious         | 潜意识             | qián yì shí        | subconsciente      | subconsciente     
 13 | instinct             | 本能              | běn néng           | instinto           | instinto          
 14 | developmental        | 发展              | fā zhǎn            | de desarrollo      | desenvolvimentista
 15 | behavioral           | 行为              | xíng wéi           | conductual         | comportamental    
 16 | emotional            | 情感              | qíng gǎn           | emocional          | emocional         
 17 | sensory              | 感官              | gǎn guān           | sensorial          | sensorial         
 18 | bias                 | 偏见              | piān jiàn          | sesgo              | preconceito       
 19 | placebo              | 安慰剂             | ān wèi jì          | placebo            | placebo           
 20 | conditioning         | 调理              | tiáo lǐ            | acondicionamiento  | condicionamento   
 21 | psyche               | 心灵              | xīn líng           | psique             | psique            
 22 | cognitive ability    | 认知能力            | rèn zhī néng lì    | capacidad cognitiv | capacidade cogniti
 23 | cognitive developmen | 认知发展            | rèn zhī fā zhǎn    | desarrollo cogniti | desenvolvimento co
 24 | visual perception    | 视觉感知            | shì jué gǎn zhī    | percepción visual  | percepção visual  
 25 | perception of        | 对               | duì                | percepción de      | percepção de      
 26 | center of attention  | 的看法关注中心         | de kàn fǎ guān zhù | centro de atención | centro das atençõe
 27 | attention span       | 注意力持续时间         | zhù yì lì chí xù s | capacidad de atenc | capacidade de aten
 28 | short-term memory    | 短期记忆            | duǎn qī jì yì      | memoria a corto pl | memória de curto p
 29 | memory loss          | 记忆丧失            | jì yì sàng shī     | pérdida de memoria | perda de memória  
 30 | intrinsic motivation | 内在动机            | nèi zài dòng jī    | motivación intríns | motivação intrínse
 31 | motivation to        | 做某事的动机          | zuò mǒu shì de dòn | motivación para    | motivação para    
 32 | human behavior       | 的动机人类行为         | de dòng jī rén lèi | comportamiento hum | comportamento huma
 33 | behavior pattern     | 行为模式            | xíng wéi mó shì    | patrón de comporta | padrão de comporta
 34 | external stimulus    | 外部刺激            | wài bù cì jī       | estímulo externo   | estímulo externo  
 35 | stimulus response    | 刺激反应            | cì jī fǎn yìng     | respuesta al estím | resposta ao estímu
 36 | emotional arousal    | 情绪唤起            | qíng xù huàn qǐ    | excitación emocion | excitação emociona
 37 | arousal level        | 唤醒水平            | huàn xǐng shuǐ pín | nivel de excitació | nível de excitação
 38 | positive reinforceme | 正强化             | zhèng qiáng huà    | refuerzo positivo  | reforço positivo  
 39 | reinforcement learni | 强化学习            | qiáng huà xué xí   | aprendizaje por re | aprendizagem por r
 40 | state of consciousne | 意识状态            | yì shí zhuàng tài  | estado de concienc | estado de consciên
 41 | consciousness level  | 意识水平            | yì shí shuǐ píng   | nivel de concienci | nível de consciênc
 42 | subconscious mind    | 潜意识             | qián yì shí        | mente subconscient | mente subconscient
 43 | subconscious thought | 潜意识思维           | qián yì shí sī wéi | pensamiento subcon | pensamento subcons
 44 | basic instinct       | 基本本能            | jī běn běn néng    | instinto básico    | instinto básico   
 45 | instinct to          | 本能地             | běn néng dì        | instinto de        | instinto de       
 46 | developmental stage  | 发育阶段            | fā yù jiē duàn     | etapa de desarroll | estágio de desenvo
 47 | developmental psycho | 发展心理学           | fā zhǎn xīn lǐ xué | psicología del des | psicologia do dese
 48 | behavioral therapy   | 行为疗法            | xíng wéi liáo fǎ   | terapia conductual | terapia comportame
 49 | behavioral change    | 行为改变            | xíng wéi gǎi biàn  | cambio de comporta | mudança comportame
 50 | emotional response   | 情绪反应            | qíng xù fǎn yìng   | respuesta emociona | resposta emocional
 51 | emotional intelligen | 情商              | qíng shāng         | inteligencia emoci | inteligência emoci
 52 | sensory input        | 感觉输入            | gǎn jué shū rù     | entrada sensorial  | entrada sensorial 
 53 | sensory perception   | 感官知觉            | gǎn guān zhī jué   | percepción sensori | percepção sensoria
 54 | confirmation bias    | 确认偏差            | què rèn piān chā   | sesgo de confirmac | viés de confirmaçã
 55 | bias toward          | 偏向              | piān xiàng         | sesgo hacia        | tendência para    
 56 | placebo effect       | 安慰剂效应           | ān wèi jì xiào yìn | efecto placebo     | efeito placebo    
 57 | placebo group        | 安慰剂组            | ān wèi jì zǔ       | grupo placebo      | grupo placebo     
 58 | classical conditioni | 经典条件反射          | jīng diǎn tiáo jià | condicionamiento c | condicionamento cl
 59 | conditioning process | 调理过程            | tiáo lǐ guò chéng  | proceso de acondic | processo de condic
 60 | human psyche         | 人类心理            | rén lèi xīn lǐ     | psique humana      | psique humana     
 61 | psyche of            | 的心理             | de xīn lǐ          | psique de          | psique de         
