PACK 94: Environment
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | pollution            | 污染              | wū rǎn             | contaminación      | poluição          
  3 | recycle              | 回收              | huí shōu           | reciclar           | reciclar          
  4 | renewable            | 可再生             | kě zài shēng       | renovable          | renovável         
  5 | sustainable          | 可持续             | kě chí xù          | sostenible         | sustentável       
  6 | climate              | 气候              | qì hòu             | clima              | clima             
  7 | global               | 全球              | quán qiú           | mundiales          | globais           
  8 | energy               | 能源              | néng yuán          | energía            | energia           
  9 | waste                | 浪费              | làng fèi           | residuos           | resíduos          
 10 | wildlife             | 野生动物            | yě shēng dòng wù   | vida silvestre     | vida selvagem     
 11 | conservation         | 保护              | bǎo hù             | conservación       | conservação       
 12 | sanctuary            | 庇护所             | bì hù suǒ          | santuario          | santuário         
 13 | ecosystem            | 生态系统            | shēng tài xì tǒng  | ecosistema         | ecossistema       
 14 | footprint            | 足迹              | zú jì              | huella             | pegada            
 15 | carbon               | 碳               | tàn                | carbono            | carbono           
 16 | emissions            | 排放              | pái fàng           | emisiones          | emissões          
 17 | organic              | 有机              | yǒu jī             | orgánico           | orgânico          
 18 | ecology              | 生态              | shēng tài          | ecología           | ecologia          
 19 | solar                | 太阳能             | tài yáng néng      | solares            | solares           
 20 | wind                 | 风               | fēng               | viento             | vento             
 21 | endangered           | 濒危              | bīn wēi            | en peligro de exti | em perigo         
 22 | air pollution        | 空气污染            | kōng qì wū rǎn     | contaminación del  | poluição atmosféri
 23 | pollution level      | 污染程度            | wū rǎn chéng dù    | nivel de contamina | nível de poluição 
 24 | recycle plastic      | 回收塑料            | huí shōu sù liào   | reciclar plástico  | reciclar plástico 
 25 | recycle bin          | 回收站             | huí shōu zhàn      | papelera de recicl | lixeira           
 26 | renewable energy     | 可再生能源           | kě zài shēng néng  | energía renovable  | energia renovável 
 27 | renewable resources  | 再生资源            | zài shēng zī yuán  | recursos renovable | recursos renovávei
 28 | sustainable living   | 可持续生活           | kě chí xù shēng hu | vida sostenible    | vida sustentável  
 29 | sustainable developm | 可持续发展           | kě chí xù fā zhǎn  | desarrollo sosteni | desenvolvimento su
 30 | climate crisis       | 气候危机            | qì hòu wēi jī      | crisis climática   | crise climática   
 31 | tropical climate     | 热带气候            | rè dài qì hòu      | clima tropical     | clima tropical    
 32 | global warming       | 全球变暖            | quán qiú biàn nuǎn | calentamiento glob | aquecimento global
 33 | global issue         | 全球问题            | quán qiú wèn tí    | problema mundial   | questão global    
 34 | clean energy         | 清洁能源            | qīng jié néng yuán | energía limpia     | energia limpa     
 35 | save energy          | 节省能源            | jié shěng néng yuá | ahorrar energía    | economizar energia
 36 | reduce waste         | 减少浪费            | jiǎn shǎo làng fèi | reducir el desperd | reduzir o desperdí
 37 | waste management     | 废物管理            | fèi wù guǎn lǐ     | gestión de residuo | gestão de resíduos
 38 | protect wildlife     | 保护野生动物          | bǎo hù yě shēng dò | proteger la vida s | proteger a vida se
 39 | wildlife sanctuary   | 野生动物保护区         | yě shēng dòng wù b | santuario de vida  | santuário de vida 
 40 | nature conservation  | 自然保护            | zì rán bǎo hù      | conservación de la | conservação da nat
 41 | conservation effort  | 保护工作            | bǎo hù gōng zuò    | esfuerzo de conser | esforço de conserv
 42 | animal sanctuary     | 动物保护区           | dòng wù bǎo hù qū  | santuario de anima | santuário animal  
 43 | bird sanctuary       | 鸟类保护区           | niǎo lèi bǎo hù qū | santuario de aves  | santuário de pássa
 44 | fragile ecosystem    | 脆弱的生态系统         | cuì ruò de shēng t | ecosistema frágil  | ecossistema frágil
 45 | ecosystem balance    | 生态系统平衡          | shēng tài xì tǒng  | equilibrio del eco | equilíbrio do ecos
 46 | ecological footprint | 生态足迹            | shēng tài zú jì    | huella ecológica   | pegada ecológica  
 47 | reduce footprint     | 减少占地面积          | jiǎn shǎo zhàn dì  | reducir la huella  | reduzir a pegada  
 48 | carbon emission      | 碳排放             | tàn pái fàng       | emisiones de carbo | emissão de carbono
 49 | low carbon           | 低碳              | dī tàn             | bajas emisiones de | baixo carbono     
 50 | reduce emissions     | 减少排放            | jiǎn shǎo pái fàng | reducir las emisio | reduzir emissões  
 51 | emissions standard   | 排放标准            | pái fàng biāo zhǔn | norma de emisiones | padrão de emissões
 52 | organic food         | 有机食品            | yǒu jī shí pǐn     | alimentos orgánico | alimentos orgânico
 53 | organic farming      | 有机农业            | yǒu jī nóng yè     | agricultura ecológ | agricultura biológ
 54 | study ecology        | 研究生态学           | yán jiū shēng tài  | estudiar ecología  | estudar ecologia  
 55 | ecology class        | 生态课             | shēng tài kè       | clase de ecología  | aula de ecologia  
 56 | solar power          | 太阳能             | tài yáng néng      | energía solar      | energia solar     
 57 | solar panel          | 太阳能电池板          | tài yáng néng diàn | panel solar        | painel solar      
 58 | wind power           | 风力发电            | fēng lì fā diàn    | energía eólica     | energia eólica    
 59 | wind turbine         | 风力发电机           | fēng lì fā diàn jī | turbina eólica     | turbina eólica    
 60 | endangered wildlife  | 濒临灭绝的野生动物       | bīn lín miè jué de | fauna en peligro d | vida selvagem amea
 61 | endangered animal    | 濒危动物            | bīn wēi dòng wù    | animal en peligro  | animal em extinção
