PACK 148: Business Advanced
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | entrepreneur         | 企业家             | qǐ yè jiā          | emprendedor        | empreendedor      
  3 | venture              | 创业              | chuàng yè          | emprendimiento     | empreendimento    
  4 | founder              | 创始人             | chuàng shǐ rén     | fundador           | fundador          
  5 | backer               | 支持者             | zhī chí zhě        | patrocinador       | apoiador          
  6 | funding              | 资金              | zī jīn             | financiación       | financiamento     
  7 | valuation            | 估值              | gū zhí             | valoración         | avaliação         
  8 | acquisition          | 收购              | shōu gòu           | adquisición        | aquisição         
  9 | merger               | 合并              | hé bìng            | fusión             | fusão             
 10 | bootstrap            | 引导程序            | yǐn dǎo chéng xù   | arranque           | inicialização     
 11 | scale                | 规模              | guī mó             | escala             | escala            
 12 | pivot                | 枢轴              | shū zhóu           | pivote             | pivô              
 13 | model                | 型号              | xíng hào           | modelo             | modelo            
 14 | traction             | 牵引力             | qiān yǐn lì        | tracción           | tração            
 15 | advantage            | 优势              | yōu shì            | ventaja            | vantagem          
 16 | disruptive           | 破坏性             | pò huài xìng       | disruptivo         | perturbador       
 17 | strategic            | 战略              | zhàn lüè           | estratégico        | estratégico       
 18 | liquidity            | 流动性             | liú dòng xìng      | liquidez           | liquidez          
 19 | scalability          | 可扩展性            | kě kuò zhǎn xìng   | escalabilidad      | escalabilidade    
 20 | synergy              | 协同作用            | xié tóng zuò yòng  | sinergia           | sinergia          
 21 | diversification      | 多元化             | duō yuán huà       | diversificación    | diversificação    
 22 | successful entrepren | 成功企业家           | chéng gōng qǐ yè j | empresario exitoso | empreendedor de su
 23 | entrepreneur mindset | 企业家心态           | qǐ yè jiā xīn tài  | mentalidad emprend | mentalidade empree
 24 | new venture          | 新事业             | xīn shì yè         | nueva empresa      | novo empreendiment
 25 | venture capital      | 风险投资            | fēng xiǎn tóu zī   | capital riesgo     | capital de risco  
 26 | company founder      | 公司创始人           | gōng sī chuàng shǐ | fundador de la emp | fundador da empres
 27 | co-founder of        | 联合创始人的          | lián hé chuàng shǐ | cofundador de      | cofundador da     
 28 | financial backer     | 联合创始人财务支持者      | lián hé chuàng shǐ | patrocinador finan | financiador       
 29 | backer for           | 支持者为            | zhī chí zhě wèi    | patrocinador de    | apoiador de       
 30 | secure funding       | 的支持者安全资金        | de zhī chí zhě ān  | financiación segur | financiamento segu
 31 | funding round        | 融资轮             | róng zī lún        | ronda de financiac | rodada de financia
 32 | company valuation    | 公司估值            | gōng sī gū zhí     | valoración de empr | avaliação de empre
 33 | valuation of         | 估值的             | gū zhí de          | valoración de      | avaliação de      
 34 | company acquisition  | 的估值公司收购         | de gū zhí gōng sī  | adquisición de emp | aquisição de empre
 35 | acquisition of       | 收购              | shōu gòu           | adquisición de     | aquisição de      
 36 | corporate merger     | 公司合并            | gōng sī hé bìng    | fusión corporativa | fusão societária  
 37 | merger between       | 之间的合并           | zhī jiān de hé bìn | fusión entre       | fusão entre       
 38 | bootstrap company    | 之间的合并引导公司       | zhī jiān de hé bìn | empresa de arranqu | empresa de bootstr
 39 | bootstrap startup    | 引导启动            | yǐn dǎo qǐ dòng    | inicio de arranque | inicialização de i
 40 | scale business       | 规模业务            | guī mó yè wù       | negocio a escala   | negócios em escala
 41 | scale up             | 扩大规模            | kuò dà guī mó      | ampliar            | aumentar          
 42 | pivot strategy       | 支点战略            | zhī diǎn zhàn lüè  | estrategia de pivo | estratégia de pivô
 43 | pivot to             | 转向              | zhuǎn xiàng        | girar a            | girar para        
 44 | business model       | 商业模式            | shāng yè mó shì    | modelo de negocio  | modelo de negócio 
 45 | model for            | 模式用于            | mó shì yòng yú     | modelo para        | modelo para       
 46 | gain traction        | 的模型获得牵引力        | de mó xíng huò dé  | ganar tracción     | ganhar força      
 47 | traction in          | 牵引力             | qiān yǐn lì        | tracción en        | tração em         
 48 | competitive advantag | 竞争优势            | jìng zhēng yōu shì | ventaja competitiv | vantagem competiti
 49 | advantage over       | 优于              | yōu yú             | ventaja sobre      | vantagem sobre    
 50 | disruptive technolog | 颠覆性技术           | diān fù xìng jì sh | tecnología disrupt | tecnologia disrupt
 51 | disruptive innovatio | 颠覆性创新           | diān fù xìng chuàn | innovación disrupt | inovação disruptiv
 52 | strategic planning   | 战略规划            | zhàn lüè guī huà   | planificación estr | planejamento estra
 53 | strategic decision   | 战略决策            | zhàn lüè jué cè    | decisión estratégi | decisão estratégic
 54 | market liquidity     | 市场流动性           | shì chǎng liú dòng | liquidez del merca | liquidez do mercad
 55 | liquidity crisis     | 流动性危机           | liú dòng xìng wēi  | crisis de liquidez | crise de liquidez 
 56 | business scalability | 业务可扩展性          | yè wù kě kuò zhǎn  | escalabilidad empr | escalabilidade de 
 57 | scalability of       | 可扩展性的           | kě kuò zhǎn xìng d | escalabilidad de   | escalabilidade de 
 58 | create synergy       | 的可扩展性创造协同效应     | de kě kuò zhǎn xìn | crear sinergia     | criar sinergia    
 59 | synergy between      | 之间的协同           | zhī jiān de xié tó | sinergia entre     | sinergia entre    
 60 | portfolio diversific | 之间的协同作用投资组合多元化  | zhī jiān de xié tó | diversificación de | diversificação da 
 61 | diversification stra | 多元化战略           | duō yuán huà zhàn  | estrategia de dive | estratégia de dive
